,date,open,high,low,close,volume
0,2016-03-29 09:30:00,1.6100,1.6100,1.6100,1.6100,22099
1,2016-03-29 09:31:00,1.6200,1.7100,1.6200,1.6900,67990
2,2016-03-29 09:32:00,1.6800,1.7100,1.6200,1.6200,40548
3,2016-03-29 09:33:00,1.6499,1.6800,1.6100,1.6800,15305
4,2016-03-29 09:34:00,1.6500,1.6800,1.6500,1.6695,15568
5,2016-03-29 09:35:00,1.6700,1.6800,1.6600,1.6800,13707
6,2016-03-29 09:36:00,1.6798,1.7100,1.6750,1.7017,37903
7,2016-03-29 09:37:00,1.7100,1.7500,1.7000,1.7298,49658
8,2016-03-29 09:38:00,1.7300,1.7500,1.7201,1.7412,22074
9,2016-03-29 09:39:00,1.7500,1.7500,1.7300,1.7300,27862
10,2016-03-29 09:40:00,1.7300,1.7400,1.7000,1.7199,14703
11,2016-03-29 09:41:00,1.7199,1.7199,1.6800,1.7151,10181
12,2016-03-29 09:42:00,1.7200,1.7400,1.7100,1.7299,18177
13,2016-03-29 09:43:00,1.7211,1.7300,1.7211,1.7261,3800
14,2016-03-29 09:44:00,1.7280,1.7285,1.6900,1.7110,9448
15,2016-03-29 09:45:00,1.7034,1.7100,1.6800,1.6800,23188
16,2016-03-29 09:46:00,1.6800,1.7200,1.6800,1.6800,37950
17,2016-03-29 09:47:00,1.6980,1.6980,1.6400,1.6536,12422
18,2016-03-29 09:48:00,1.6600,1.7000,1.6600,1.6999,4639
19,2016-03-29 09:49:00,1.6996,1.6996,1.6500,1.6700,18931
20,2016-03-29 09:50:00,1.6408,1.6800,1.6408,1.6650,12751
21,2016-03-29 09:51:00,1.6800,1.6800,1.6695,1.6695,5505
22,2016-03-29 09:52:00,1.6799,1.6799,1.6500,1.6500,18843
23,2016-03-29 09:53:00,1.6500,1.6700,1.6500,1.6564,1800
24,2016-03-29 09:54:00,1.6676,1.6700,1.6600,1.6600,5800
25,2016-03-29 09:55:00,1.6540,1.6700,1.6540,1.6692,7218
26,2016-03-29 09:56:00,1.6650,1.6700,1.6650,1.6679,2935
27,2016-03-29 09:57:00,1.6701,1.6800,1.6701,1.6800,5100
28,2016-03-29 09:58:00,1.6799,1.6800,1.6700,1.6800,12659
29,2016-03-29 09:59:00,1.6900,1.7024,1.6800,1.7024,12435
30,2016-03-29 10:00:00,1.6948,1.7000,1.6700,1.6970,2472
31,2016-03-29 10:01:00,1.7000,1.7000,1.6800,1.6800,3700
32,2016-03-29 10:02:00,1.6900,1.6900,1.6701,1.6701,7500
33,2016-03-29 10:03:00,1.6812,1.6812,1.6812,1.6812,300
34,2016-03-29 10:05:00,1.6899,1.6899,1.6800,1.6800,11914
35,2016-03-29 10:06:00,1.6900,1.6900,1.6850,1.6899,2500
36,2016-03-29 10:07:00,1.6900,1.6900,1.6700,1.6700,11941
37,2016-03-29 10:08:00,1.6700,1.6700,1.6500,1.6600,9484
38,2016-03-29 10:09:00,1.6600,1.6600,1.6600,1.6600,100
39,2016-03-29 10:10:00,1.6700,1.6700,1.6699,1.6699,2650
40,2016-03-29 10:12:00,1.6500,1.6550,1.6200,1.6300,33783
41,2016-03-29 10:13:00,1.6321,1.6593,1.6300,1.6300,3250
42,2016-03-29 10:14:00,1.6300,1.6300,1.6200,1.6200,200
43,2016-03-29 10:15:00,1.6200,1.6299,1.6200,1.6299,10000
44,2016-03-29 10:16:00,1.6300,1.6400,1.6300,1.6400,13489
45,2016-03-29 10:17:00,1.6362,1.6400,1.6350,1.6400,4900
46,2016-03-29 10:18:00,1.6399,1.6400,1.6300,1.6400,2500
47,2016-03-29 10:19:00,1.6450,1.6450,1.6300,1.6301,9276
48,2016-03-29 10:20:00,1.6310,1.6340,1.6310,1.6340,2551
49,2016-03-29 10:22:00,1.6500,1.6500,1.6500,1.6500,200
50,2016-03-29 10:23:00,1.6300,1.6300,1.6200,1.6200,2048
51,2016-03-29 10:24:00,1.6200,1.6300,1.6100,1.6224,4186
52,2016-03-29 10:25:00,1.6200,1.6200,1.6200,1.6200,200
53,2016-03-29 10:26:00,1.6200,1.6200,1.6200,1.6200,2200
54,2016-03-29 10:27:00,1.6100,1.6150,1.6100,1.6100,2395
55,2016-03-29 10:28:00,1.6100,1.6100,1.6000,1.6000,7701
56,2016-03-29 10:29:00,1.6000,1.6100,1.5901,1.6050,13120
57,2016-03-29 10:30:00,1.6003,1.6003,1.6000,1.6000,5100
58,2016-03-29 10:31:00,1.5900,1.5900,1.5600,1.5899,18095
59,2016-03-29 10:32:00,1.5800,1.5850,1.5700,1.5800,7180
