,date,open,high,low,close,volume
0,2016-03-29 09:30:00,141.75,141.75,141.75,141.75,1949
1,2016-03-29 09:31:00,141.72,141.84,141.72,141.84,14115
2,2016-03-29 09:32:00,141.85,141.85,141.75,141.8,3668
3,2016-03-29 09:34:00,141.75,141.79,141.75,141.79,697
4,2016-03-29 09:35:00,141.8,141.82,141.77,141.77,1285
5,2016-03-29 09:36:00,141.77,141.83,141.76,141.83,2618
6,2016-03-29 09:37:00,141.83,141.83,141.78,141.83,600
7,2016-03-29 09:38:00,141.79,141.84,141.79,141.8,1795
8,2016-03-29 09:39:00,141.84,141.84,141.84,141.84,1548
9,2016-03-29 09:40:00,141.85,141.85,141.81,141.83,1900
10,2016-03-29 09:41:00,141.81,141.81,141.77,141.8,3354
11,2016-03-29 09:42:00,141.8,141.83,141.8,141.82,1000
12,2016-03-29 09:43:00,141.8,141.81,141.8,141.81,200
13,2016-03-29 09:44:00,141.78,141.82,141.78,141.82,342
14,2016-03-29 09:45:00,141.82,141.83,141.82,141.82,603
15,2016-03-29 09:46:00,141.8,141.8,141.79,141.79,523
16,2016-03-29 09:47:00,141.81,141.81,141.81,141.81,100
17,2016-03-29 09:49:00,141.79,141.79,141.78,141.78,604
18,2016-03-29 09:51:00,141.8,141.8,141.8,141.8,500
19,2016-03-29 09:54:00,141.81,141.81,141.81,141.81,100
20,2016-03-29 09:55:00,141.79,141.81,141.79,141.81,203
21,2016-03-29 09:56:00,141.81,141.81,141.81,141.81,200
22,2016-03-29 09:58:00,141.8,141.81,141.79,141.79,1444
23,2016-03-29 09:59:00,141.78,141.78,141.78,141.78,100
24,2016-03-29 10:01:00,141.78,141.785,141.77,141.78,1629
25,2016-03-29 10:04:00,141.78,141.78,141.78,141.78,100
26,2016-03-29 10:06:00,141.79,141.79,141.77,141.77,300
27,2016-03-29 10:07:00,141.77,141.77,141.76,141.76,821
28,2016-03-29 10:08:00,141.75,141.75,141.75,141.75,100
29,2016-03-29 10:11:00,141.7775,141.78,141.7775,141.78,200
30,2016-03-29 10:12:00,141.78,141.78,141.78,141.78,100
31,2016-03-29 10:14:00,141.77,141.77,141.76,141.76,798
32,2016-03-29 10:15:00,141.75,141.77,141.75,141.76,300
33,2016-03-29 10:19:00,141.77,141.8,141.77,141.8,2308
34,2016-03-29 10:20:00,141.78,141.78,141.78,141.78,200
35,2016-03-29 10:22:00,141.8,141.8,141.8,141.8,100
36,2016-03-29 10:23:00,141.8,141.8,141.8,141.8,300
37,2016-03-29 10:24:00,141.79,141.79,141.79,141.79,276
38,2016-03-29 10:27:00,141.79,141.79,141.79,141.79,200
39,2016-03-29 10:28:00,141.79,141.79,141.79,141.79,200
40,2016-03-29 10:29:00,141.79,141.8,141.79,141.8,300
41,2016-03-29 10:31:00,141.8,141.8,141.79,141.79,2700
42,2016-03-29 10:32:00,141.8,141.8,141.8,141.8,400
43,2016-03-29 10:33:00,141.79,141.79,141.79,141.79,485
44,2016-03-29 10:35:00,141.78,141.78,141.78,141.78,200
45,2016-03-29 10:38:00,141.79,141.8,141.79,141.8,400
46,2016-03-29 10:39:00,141.8,141.8,141.8,141.8,100
47,2016-03-29 10:40:00,141.8,141.8,141.8,141.8,100
48,2016-03-29 10:41:00,141.8,141.8,141.795,141.8,1000
49,2016-03-29 10:42:00,141.79,141.79,141.79,141.79,600
50,2016-03-29 10:44:00,141.79,141.79,141.79,141.79,100
