,date,open,high,low,close,volume
0,2016-03-29 09:31:00,39.93,39.97,39.9,39.915,71918
1,2016-03-29 09:32:00,39.94,40.07,39.89,40.025,28035
2,2016-03-29 09:33:00,40.04,40.04,39.98,39.99,23465
3,2016-03-29 09:34:00,39.98,39.98,39.94,39.945,8424
4,2016-03-29 09:35:00,39.945,40.0,39.945,39.98,13055
5,2016-03-29 09:36:00,39.98,39.99,39.95,39.96,6714
6,2016-03-29 09:37:00,39.94,39.99,39.91,39.96,31533
7,2016-03-29 09:38:00,39.96,39.96,39.885,39.915,39320
8,2016-03-29 09:39:00,39.93,39.94,39.88,39.91,29534
9,2016-03-29 09:40:00,39.91,39.97,39.9,39.97,25669
10,2016-03-29 09:41:00,39.97,39.97,39.95,39.96,7572
11,2016-03-29 09:42:00,39.96,39.97,39.95,39.96,8871
12,2016-03-29 09:43:00,39.96,39.98,39.95,39.98,26204
13,2016-03-29 09:44:00,39.97,39.98,39.96,39.96,12567
14,2016-03-29 09:45:00,39.96,39.99,39.955,39.97,28127
15,2016-03-29 09:46:00,39.96,39.98,39.93,39.95,28913
16,2016-03-29 09:47:00,39.95,39.97,39.91,39.94,59586
17,2016-03-29 09:48:00,39.94,39.94,39.89,39.9,20211
18,2016-03-29 09:49:00,39.89,39.91,39.86,39.9,43574
19,2016-03-29 09:50:00,39.9,39.93,39.8999,39.9,15206
20,2016-03-29 09:51:00,39.9,39.91,39.87,39.9,39960
21,2016-03-29 09:52:00,39.89,39.91,39.88,39.89,9519
22,2016-03-29 09:53:00,39.875,39.89,39.83,39.87,13454
23,2016-03-29 09:54:00,39.88,39.9,39.86,39.87,7883
24,2016-03-29 09:55:00,39.87,39.91,39.86,39.88,67622
25,2016-03-29 09:56:00,39.8898,39.94,39.885,39.92,14494
26,2016-03-29 09:57:00,39.92,39.93,39.9,39.9,4110
27,2016-03-29 09:58:00,39.91,39.94,39.9,39.9,7027
28,2016-03-29 09:59:00,39.9,39.91,39.89,39.89,6498
29,2016-03-29 10:00:00,39.89,39.89,39.87,39.875,78552
30,2016-03-29 10:01:00,39.88,39.94,39.88,39.91,23319
31,2016-03-29 10:02:00,39.902,39.95,39.902,39.94,9818
32,2016-03-29 10:03:00,39.95,39.95,39.93,39.95,35166
33,2016-03-29 10:04:00,39.94,39.95,39.935,39.94,2800
34,2016-03-29 10:05:00,39.95,39.95,39.93,39.94,14985
35,2016-03-29 10:06:00,39.93,39.96,39.93,39.95,27310
36,2016-03-29 10:07:00,39.95,39.96,39.94,39.95,18629
37,2016-03-29 10:08:00,39.95,39.96,39.93,39.94,14779
38,2016-03-29 10:09:00,39.94,39.96,39.93,39.95,10295
39,2016-03-29 10:10:00,39.96,39.97,39.955,39.97,7985
40,2016-03-29 10:11:00,39.96,39.96,39.93,39.95,9264
41,2016-03-29 10:12:00,39.94,39.94,39.89,39.9,7134
42,2016-03-29 10:13:00,39.89,39.91,39.88,39.8867,52085
43,2016-03-29 10:14:00,39.89,39.89,39.85,39.865,4550
44,2016-03-29 10:15:00,39.86,39.91,39.86,39.87,76530
45,2016-03-29 10:16:00,39.875,39.88,39.86,39.87,9600
46,2016-03-29 10:17:00,39.87,39.89,39.86,39.88,29030
47,2016-03-29 10:18:00,39.88,39.89,39.87,39.89,4376
48,2016-03-29 10:19:00,39.89,39.91,39.87,39.88,26954
49,2016-03-29 10:20:00,39.9,39.91,39.88,39.9,57148
50,2016-03-29 10:21:00,39.91,39.91,39.9,39.9,200
51,2016-03-29 10:22:00,39.91,39.93,39.9,39.91,7920
52,2016-03-29 10:23:00,39.91,39.97,39.905,39.97,14982
53,2016-03-29 10:24:00,39.96,39.96,39.94,39.94,10647
54,2016-03-29 10:25:00,39.95,39.96,39.94,39.95,9491
55,2016-03-29 10:26:00,39.95,39.96,39.94,39.945,6393
56,2016-03-29 10:27:00,39.94,39.96,39.92,39.92,142412
57,2016-03-29 10:28:00,39.92,39.96,39.91,39.93,41845
58,2016-03-29 10:29:00,39.9222,39.95,39.91,39.94,20198
59,2016-03-29 10:30:00,39.938,39.94,39.92,39.935,11500
60,2016-03-29 10:31:00,39.93,39.96,39.925,39.95,61350
61,2016-03-29 10:32:00,39.945,39.95,39.94,39.94,1601
62,2016-03-29 10:33:00,39.95,39.95,39.94,39.945,14505
63,2016-03-29 10:34:00,39.95,39.95,39.94,39.95,3740
64,2016-03-29 10:35:00,39.95,39.95,39.925,39.95,26028
65,2016-03-29 10:36:00,39.95,39.95,39.95,39.95,100
66,2016-03-29 10:37:00,39.95,39.95,39.91,39.91,6559
67,2016-03-29 10:38:00,39.9,39.91,39.87,39.9,11373
68,2016-03-29 10:39:00,39.91,39.91,39.89,39.89,2300
69,2016-03-29 10:40:00,39.9,39.91,39.9,39.9034,6200
70,2016-03-29 10:41:00,39.9,39.9,39.89,39.9,5243
71,2016-03-29 10:42:00,39.9,39.9,39.89,39.9,2000
72,2016-03-29 10:43:00,39.895,39.92,39.895,39.92,16950
73,2016-03-29 10:44:00,39.92,39.92,39.9,39.92,12470
74,2016-03-29 10:45:00,39.915,39.915,39.91,39.91,1600
75,2016-03-29 10:46:00,39.92,39.94,39.91,39.91,13310
76,2016-03-29 10:47:00,39.92,39.94,39.92,39.93,8640
77,2016-03-29 10:48:00,39.93,39.93,39.93,39.93,2100
78,2016-03-29 10:49:00,39.94,39.97,39.935,39.97,11996
79,2016-03-29 10:50:00,39.96,39.97,39.94,39.97,14422
80,2016-03-29 10:51:00,39.97,39.98,39.96,39.98,12435
81,2016-03-29 10:52:00,39.98,39.98,39.97,39.98,3141
82,2016-03-29 10:53:00,39.98,40.02,39.98,40.0,23092
83,2016-03-29 10:54:00,40.0,40.0099,39.99,40.0,7904
84,2016-03-29 10:55:00,40.01,40.02,40.0001,40.0001,12308
85,2016-03-29 10:56:00,40.01,40.02,39.99,40.02,9288
86,2016-03-29 10:57:00,40.02,40.04,40.01,40.01,2700
87,2016-03-29 10:58:00,40.0,40.0,39.98,39.98,3517
88,2016-03-29 10:59:00,39.99,39.99,39.98,39.98,4466
89,2016-03-29 11:00:00,39.97,39.97,39.96,39.97,4669
90,2016-03-29 11:01:00,39.97,39.98,39.9499,39.95,5956
91,2016-03-29 11:02:00,39.96,40.01,39.96,40.01,13726
92,2016-03-29 11:03:00,40.0,40.0,39.99,40.0,6305
93,2016-03-29 11:04:00,39.99,40.01,39.99,40.01,9760
94,2016-03-29 11:05:00,40.02,40.03,39.99,39.995,4402
95,2016-03-29 11:06:00,39.98,40.0,39.98,39.99,1180
96,2016-03-29 11:07:00,40.0,40.0,39.94,39.94,4443
97,2016-03-29 11:08:00,39.95,40.0,39.945,40.0,12099
98,2016-03-29 11:09:00,40.0,40.0,39.995,40.0,4170
99,2016-03-29 11:10:00,40.0039,40.03,40.0,40.03,3954
100,2016-03-29 11:11:00,40.02,40.02,39.99,40.01,6716
101,2016-03-29 11:12:00,40.01,40.02,40.01,40.02,2800
102,2016-03-29 11:13:00,40.03,40.0408,40.02,40.02,4435
103,2016-03-29 11:14:00,40.02,40.02,40.01,40.0111,1400
104,2016-03-29 11:15:00,40.01,40.03,40.01,40.03,6785
105,2016-03-29 11:16:00,40.03,40.03,40.02,40.02,2470
106,2016-03-29 11:17:00,40.02,40.02,40.0,40.01,3600
107,2016-03-29 11:18:00,40.0075,40.04,40.005,40.02,5900
108,2016-03-29 11:19:00,40.02,40.05,40.02,40.05,11700
109,2016-03-29 11:20:00,40.05,40.06,40.04,40.05,11400
110,2016-03-29 11:21:00,40.05,40.06,40.0342,40.04,13297
111,2016-03-29 11:22:00,40.04,40.04,40.01,40.03,12867
112,2016-03-29 11:23:00,40.03,40.04,40.0,40.0,3193
113,2016-03-29 11:24:00,40.0,40.005,39.99,40.0,3973
114,2016-03-29 11:25:00,40.01,40.01,39.98,39.98,4708
115,2016-03-29 11:26:00,39.975,39.99,39.97,39.975,3600
116,2016-03-29 11:27:00,39.98,40.01,39.975,40.0,4850
117,2016-03-29 11:28:00,40.0,40.01,39.99,40.0,7500
118,2016-03-29 11:29:00,40.01,40.01,39.9945,40.0,5277
119,2016-03-29 11:30:00,40.0,40.0,39.99,39.9975,7699
120,2016-03-29 11:31:00,39.99,40.0,39.99,39.99,1535
121,2016-03-29 11:32:00,40.0,40.0118,39.99,39.99,8589
122,2016-03-29 11:33:00,39.99,39.99,39.99,39.99,1200
123,2016-03-29 11:34:00,39.9933,40.0,39.99,39.99,3100
124,2016-03-29 11:35:00,40.0,40.04,40.0,40.0299,31192
125,2016-03-29 11:36:00,40.03,40.03,40.02,40.03,5285
126,2016-03-29 11:37:00,40.04,40.04,40.03,40.04,10855
127,2016-03-29 11:38:00,40.04,40.05,40.04,40.05,12450
128,2016-03-29 11:39:00,40.05,40.06,40.05,40.06,12099
129,2016-03-29 11:40:00,40.055,40.07,40.055,40.06,7692
130,2016-03-29 11:41:00,40.06,40.09,40.06,40.085,15205
131,2016-03-29 11:42:00,40.085,40.1,40.08,40.1,8550
132,2016-03-29 11:43:00,40.095,40.1,40.07,40.07,18077
133,2016-03-29 11:44:00,40.075,40.075,40.07,40.07,3150
134,2016-03-29 11:45:00,40.07,40.08,40.07,40.08,7700
135,2016-03-29 11:46:00,40.07,40.07,40.04,40.04,27399
136,2016-03-29 11:47:00,40.04,40.05,40.03,40.0432,7900
137,2016-03-29 11:48:00,40.0418,40.05,40.04,40.04,7950
138,2016-03-29 11:49:00,40.05,40.06,40.04,40.05,13790
139,2016-03-29 11:50:00,40.05,40.06,40.04,40.05,16943
140,2016-03-29 11:51:00,40.05,40.06,40.04,40.05,32350
141,2016-03-29 11:52:00,40.055,40.06,40.04,40.05,10800
142,2016-03-29 11:53:00,40.04,40.04,40.005,40.01,9414
143,2016-03-29 11:54:00,40.01,40.02,40.0,40.005,7900
144,2016-03-29 11:55:00,40.0,40.0,39.9603,39.9635,8908
145,2016-03-29 11:56:00,39.97,39.98,39.97,39.975,11775
146,2016-03-29 11:57:00,39.98,39.98,39.96,39.98,13267
147,2016-03-29 11:58:00,39.95,39.95,39.91,39.9299,17714
148,2016-03-29 11:59:00,39.93,39.96,39.925,39.9332,9490
149,2016-03-29 12:00:00,39.94,39.95,39.935,39.9459,2869
