,date,open,high,low,close,volume
0,2016-03-29 09:31:00,115.0200,115.0200,114.8800,114.8800,2300
1,2016-03-29 09:33:00,114.4539,114.4539,114.4539,114.4539,100
2,2016-03-29 09:36:00,114.2400,114.2500,114.2100,114.2500,500
3,2016-03-29 09:38:00,113.9600,113.9600,113.9600,113.9600,100
4,2016-03-29 09:39:00,114.2300,114.2300,114.2300,114.2300,100
5,2016-03-29 09:40:00,114.1800,114.1900,114.1800,114.1800,302
6,2016-03-29 09:44:00,113.9900,114.1900,113.9900,114.1900,300
7,2016-03-29 09:47:00,114.1650,114.1650,114.1650,114.1650,100
8,2016-03-29 09:48:00,114.1800,114.4800,114.1800,114.4800,700
9,2016-03-29 09:51:00,114.3200,114.4500,114.3200,114.4500,300
10,2016-03-29 09:53:00,114.1900,114.3400,114.1600,114.3400,800
11,2016-03-29 09:54:00,114.2600,114.5700,114.2600,114.5600,1659
12,2016-03-29 09:57:00,114.5600,114.5700,114.5600,114.5700,200
13,2016-03-29 09:58:00,114.6100,114.7400,114.6100,114.7400,400
14,2016-03-29 10:01:00,114.6350,114.8800,114.6350,114.8800,700
15,2016-03-29 10:02:00,114.8600,114.8700,114.7500,114.7500,1765
16,2016-03-29 10:03:00,114.8500,115.1200,114.8500,115.1200,513
17,2016-03-29 10:04:00,114.8700,115.0900,114.7100,115.0900,1067
18,2016-03-29 10:05:00,114.8200,114.8200,114.8200,114.8200,100
19,2016-03-29 10:06:00,114.7850,114.7850,114.7850,114.7850,100
20,2016-03-29 10:08:00,114.7000,114.7000,114.6400,114.6400,600
21,2016-03-29 10:13:00,114.8100,114.8100,114.8100,114.8100,100
22,2016-03-29 10:14:00,114.6000,114.6000,114.5600,114.5600,300
23,2016-03-29 10:18:00,114.7200,114.7200,114.7100,114.7100,200
24,2016-03-29 10:20:00,114.6500,114.8000,114.5800,114.5800,500
25,2016-03-29 10:21:00,114.4500,114.4500,114.4500,114.4500,100
26,2016-03-29 10:22:00,114.4000,114.5500,114.4000,114.5500,400
27,2016-03-29 10:25:00,114.5700,114.6200,114.5700,114.6200,200
28,2016-03-29 10:26:00,114.7900,114.7900,114.7823,114.7823,400
29,2016-03-29 10:29:00,114.8200,114.8200,114.8200,114.8200,100
30,2016-03-29 10:30:00,114.8000,114.8000,114.8000,114.8000,100
31,2016-03-29 10:31:00,114.6700,114.7800,114.6700,114.7800,200
32,2016-03-29 10:32:00,114.6600,114.7800,114.6600,114.7800,300
33,2016-03-29 10:33:00,114.6100,114.7600,114.5500,114.5500,1100
34,2016-03-29 10:34:00,114.5100,114.5100,114.4300,114.4300,400
35,2016-03-29 10:35:00,114.4300,114.4300,114.3800,114.3800,800
36,2016-03-29 10:37:00,114.3900,114.3900,114.3900,114.3900,400
37,2016-03-29 10:38:00,114.4900,114.7300,114.4900,114.7300,400
38,2016-03-29 10:39:00,114.5800,114.5800,114.5800,114.5800,100
39,2016-03-29 10:41:00,114.7600,114.7600,114.7600,114.7600,100
40,2016-03-29 10:42:00,114.6900,114.6900,114.4500,114.4700,1000
41,2016-03-29 10:46:00,114.4700,114.5700,114.4700,114.5700,200
42,2016-03-29 10:47:00,114.5700,114.7700,114.5700,114.7700,400
43,2016-03-29 10:48:00,114.8500,114.8500,114.7446,114.7446,1032
44,2016-03-29 10:49:00,114.5900,114.5900,114.5900,114.5900,100
45,2016-03-29 10:50:00,114.8100,114.8100,114.7800,114.7800,300
46,2016-03-29 10:52:00,114.7500,114.7500,114.5900,114.6900,4236
47,2016-03-29 10:53:00,114.6200,114.7000,114.5000,114.5100,5552
48,2016-03-29 10:54:00,114.5200,114.5800,114.5100,114.5100,400
49,2016-03-29 10:57:00,114.6000,114.6000,114.6000,114.6000,100
50,2016-03-29 11:00:00,114.6000,114.6200,114.6000,114.6200,300
51,2016-03-29 11:02:00,114.7300,114.8800,114.7300,114.8800,200
52,2016-03-29 11:03:00,114.7200,114.7200,114.5400,114.5400,500
53,2016-03-29 11:06:00,114.5800,114.5800,114.5800,114.5800,100
54,2016-03-29 11:07:00,114.4101,114.4101,114.4101,114.4101,168
55,2016-03-29 11:08:00,114.4400,114.5900,114.4400,114.5900,300
56,2016-03-29 11:09:00,114.6000,114.6800,114.5900,114.6800,300
57,2016-03-29 11:10:00,114.5900,114.5900,114.5800,114.5900,800
58,2016-03-29 11:11:00,114.4800,114.4900,114.4500,114.4900,668
59,2016-03-29 11:13:00,114.5300,114.5800,114.5000,114.5000,700
60,2016-03-29 11:14:00,114.4300,114.4300,114.4300,114.4300,100
61,2016-03-29 11:15:00,114.4600,114.4600,114.4600,114.4600,100
62,2016-03-29 11:16:00,114.8300,114.8300,114.5000,114.5000,400
63,2016-03-29 11:18:00,114.3600,114.3600,114.3600,114.3600,100
64,2016-03-29 11:20:00,114.5500,114.5500,114.5500,114.5500,100
65,2016-03-29 11:21:00,114.3800,114.5120,114.3700,114.5120,900
66,2016-03-29 11:23:00,114.5000,114.7200,114.5000,114.6700,4098
67,2016-03-29 11:24:00,114.6500,114.6500,114.6100,114.6100,252
68,2016-03-29 11:25:00,114.4700,114.4700,114.4700,114.4700,100
69,2016-03-29 11:29:00,114.4900,114.8500,114.4900,114.8500,705
70,2016-03-29 11:30:00,114.7400,114.7400,114.7400,114.7400,100
71,2016-03-29 11:32:00,114.8500,114.8500,114.8200,114.8200,200
72,2016-03-29 11:34:00,114.7500,114.7500,114.7400,114.7500,400
73,2016-03-29 11:35:00,114.7500,114.9300,114.7500,114.7800,2138
74,2016-03-29 11:38:00,114.9800,114.9800,114.9800,114.9800,100
75,2016-03-29 11:39:00,114.7400,114.9500,114.7400,114.9500,200
76,2016-03-29 11:41:00,114.9300,114.9500,114.9300,114.9500,700
77,2016-03-29 11:42:00,114.9300,115.1200,114.9300,115.1200,700
78,2016-03-29 11:43:00,115.0900,115.1700,114.8300,114.8300,3249
79,2016-03-29 11:44:00,114.8900,115.0200,114.8600,115.0200,2200
80,2016-03-29 11:45:00,115.0300,115.1400,114.9500,115.1400,2700
81,2016-03-29 11:46:00,115.1100,115.1300,114.8400,114.9600,3490
82,2016-03-29 11:47:00,114.8800,115.0300,114.8600,114.9300,2200
83,2016-03-29 11:48:00,114.8400,114.8400,114.7900,114.7900,3300
84,2016-03-29 11:49:00,114.8300,114.8300,114.8200,114.8200,2000
85,2016-03-29 11:50:00,114.9700,114.9700,114.8500,114.8500,500
86,2016-03-29 11:51:00,115.0000,115.0000,114.8100,115.0000,300
87,2016-03-29 11:52:00,114.8300,114.8600,114.8100,114.8600,2186
88,2016-03-29 11:53:00,114.9200,114.9300,114.7800,114.8500,1952
89,2016-03-29 11:54:00,114.8000,115.1000,114.7800,115.1000,4200
90,2016-03-29 11:55:00,115.0275,115.0700,114.8400,115.0700,3200
91,2016-03-29 11:56:00,114.8000,114.8000,114.7900,114.7900,200
92,2016-03-29 11:59:00,115.2300,115.2300,114.8900,114.9200,300
93,2016-03-29 12:01:00,115.0250,115.0250,115.0250,115.0250,100
94,2016-03-29 12:02:00,115.1500,115.1500,115.1500,115.1500,100
95,2016-03-29 12:03:00,114.8850,114.8850,114.8150,114.8150,200
96,2016-03-29 12:04:00,114.7000,114.9300,114.7000,114.9300,200
97,2016-03-29 12:05:00,114.6600,114.6600,114.6600,114.6600,200
98,2016-03-29 12:07:00,114.8700,114.8700,114.7000,114.7000,400
99,2016-03-29 12:08:00,114.8400,114.8600,114.8400,114.8600,300
100,2016-03-29 12:09:00,114.8100,114.8100,114.7300,114.7300,400
101,2016-03-29 12:10:00,114.6600,114.6600,114.6600,114.6600,100
102,2016-03-29 12:12:00,114.6700,114.6700,114.6700,114.6700,100
103,2016-03-29 12:13:00,115.0800,115.0800,115.0800,115.0800,100
104,2016-03-29 12:14:00,114.7200,114.7200,114.7200,114.7200,200
105,2016-03-29 12:16:00,115.0100,115.0100,115.0100,115.0100,200
106,2016-03-29 12:19:00,114.8400,115.0700,114.8400,114.8700,1900
107,2016-03-29 12:21:00,115.0000,115.1900,115.0000,115.1900,300
108,2016-03-29 12:22:00,115.4400,115.4400,115.4400,115.4400,200
109,2016-03-29 12:23:00,115.7900,116.2300,115.7300,115.9500,3126
110,2016-03-29 12:24:00,116.1200,116.1200,116.0400,116.0400,200
111,2016-03-29 12:25:00,116.3600,116.3600,116.3600,116.3600,200
112,2016-03-29 12:26:00,116.3500,116.3500,116.3500,116.3500,100
113,2016-03-29 12:28:00,116.2400,116.2400,115.9600,115.9600,200
114,2016-03-29 12:29:00,116.1900,116.1900,116.1900,116.1900,100
115,2016-03-29 12:31:00,116.7200,116.7200,116.7200,116.7200,200
116,2016-03-29 12:34:00,116.3900,116.5200,116.3600,116.3900,800
117,2016-03-29 12:38:00,116.2900,116.2900,116.2500,116.2500,500
118,2016-03-29 12:39:00,116.3600,116.3900,116.2300,116.3300,600
119,2016-03-29 12:40:00,116.3300,116.4900,116.3300,116.4200,3310
120,2016-03-29 12:41:00,116.5100,116.5100,116.5100,116.5100,200
121,2016-03-29 12:42:00,116.5300,116.5300,116.5000,116.5200,400
122,2016-03-29 12:44:00,116.4716,116.6100,116.4716,116.6100,350
123,2016-03-29 12:45:00,116.7500,116.7500,116.5600,116.5600,300
124,2016-03-29 12:46:00,116.7400,116.7600,116.6000,116.6000,300
125,2016-03-29 12:47:00,116.7300,116.7800,116.6700,116.7800,1000
126,2016-03-29 12:48:00,116.6900,116.6900,116.6800,116.6800,400
127,2016-03-29 12:49:00,116.7800,116.7800,116.7800,116.7800,100
128,2016-03-29 12:50:00,116.8000,116.8000,116.8000,116.8000,200
129,2016-03-29 12:52:00,116.9600,116.9600,116.9600,116.9600,100
130,2016-03-29 12:55:00,116.9600,116.9600,116.9600,116.9600,100
131,2016-03-29 12:56:00,116.7100,116.9500,116.6800,116.6800,400
132,2016-03-29 12:59:00,116.5600,116.5600,116.4200,116.4200,500
133,2016-03-29 13:02:00,116.5200,116.6400,116.3200,116.6400,1200
134,2016-03-29 13:03:00,116.4800,116.4800,116.1200,116.1200,300
135,2016-03-29 13:04:00,116.2400,116.3900,116.2400,116.3900,200
136,2016-03-29 13:05:00,116.3400,116.3600,116.2400,116.3400,900
137,2016-03-29 13:06:00,116.3400,116.3500,116.3000,116.3000,600
138,2016-03-29 13:08:00,116.3300,116.3300,116.3300,116.3300,100
139,2016-03-29 13:09:00,116.1300,116.1300,116.1300,116.1300,100
140,2016-03-29 13:10:00,116.3200,116.3900,116.3000,116.3900,2400
141,2016-03-29 13:11:00,116.3600,116.3600,116.2400,116.3600,2000
142,2016-03-29 13:12:00,116.2800,116.3600,116.1100,116.3600,1100
143,2016-03-29 13:13:00,116.3600,116.4300,116.3500,116.4300,500
144,2016-03-29 13:14:00,116.3200,116.4400,116.3200,116.4400,600
145,2016-03-29 13:16:00,116.4400,116.4600,116.3950,116.3950,500
146,2016-03-29 13:17:00,116.5500,116.5500,116.5500,116.5500,100
147,2016-03-29 13:19:00,116.4200,116.4200,116.4000,116.4000,300
148,2016-03-29 13:20:00,116.5000,116.5000,116.5000,116.5000,100
149,2016-03-29 13:21:00,116.3700,116.3700,116.3700,116.3700,100
150,2016-03-29 13:23:00,116.5800,116.5800,116.5800,116.5800,100
151,2016-03-29 13:24:00,116.4700,116.4700,116.3400,116.4300,2200
152,2016-03-29 13:26:00,116.4300,116.4400,116.4300,116.4400,200
153,2016-03-29 13:27:00,116.4100,116.4100,116.4100,116.4100,200
154,2016-03-29 13:28:00,116.3500,116.4500,116.3500,116.4500,500
155,2016-03-29 13:29:00,116.4176,116.4900,116.4176,116.4900,1090
156,2016-03-29 13:30:00,116.5000,116.5000,116.5000,116.5000,100
157,2016-03-29 13:33:00,116.5100,116.5400,116.5100,116.5400,300
158,2016-03-29 13:34:00,116.4200,116.4200,116.4200,116.4200,200
159,2016-03-29 13:35:00,116.4200,116.4700,116.3900,116.4600,700
160,2016-03-29 13:37:00,116.3096,116.4700,116.3096,116.4700,832
161,2016-03-29 13:39:00,116.4600,116.5100,116.4600,116.5100,700
162,2016-03-29 13:40:00,116.5400,116.5400,116.5400,116.5400,100
163,2016-03-29 13:43:00,116.5100,116.6100,116.5100,116.6100,200
164,2016-03-29 13:47:00,116.5800,116.5800,116.5800,116.5800,200
165,2016-03-29 13:48:00,116.5100,116.5100,116.5100,116.5100,100
166,2016-03-29 13:49:00,116.5800,116.6200,116.5800,116.5800,600
167,2016-03-29 13:52:00,116.5900,116.6800,116.5900,116.6800,300
168,2016-03-29 13:53:00,116.6100,116.6100,116.5900,116.5900,200
169,2016-03-29 13:54:00,116.7200,116.7200,116.7200,116.7200,100
170,2016-03-29 13:56:00,116.7100,116.7100,116.7100,116.7100,400
171,2016-03-29 13:57:00,116.7400,116.7400,116.7300,116.7300,500
172,2016-03-29 13:58:00,116.7400,116.8800,116.7400,116.8300,700
173,2016-03-29 13:59:00,116.9900,116.9900,116.9900,116.9900,100
174,2016-03-29 14:00:00,116.8300,116.8300,116.8300,116.8300,100
175,2016-03-29 14:03:00,116.8900,116.8900,116.8800,116.8800,200
176,2016-03-29 14:04:00,116.9450,116.9900,116.9450,116.9900,500
177,2016-03-29 14:05:00,116.9900,117.0400,116.9377,117.0400,1484
178,2016-03-29 14:06:00,117.1300,117.1300,117.1300,117.1300,200
179,2016-03-29 14:08:00,116.9800,117.0500,116.9700,117.0500,600
180,2016-03-29 14:11:00,117.1400,117.2800,117.1400,117.2800,1100
181,2016-03-29 14:13:00,117.3300,117.3300,117.3300,117.3300,300
182,2016-03-29 14:14:00,117.3700,117.3700,117.1600,117.3400,800
183,2016-03-29 14:16:00,117.2200,117.2200,117.2200,117.2200,100
184,2016-03-29 14:17:00,117.1700,117.2700,117.1700,117.2700,500
185,2016-03-29 14:19:00,117.2800,117.2800,117.2800,117.2800,100
186,2016-03-29 14:20:00,117.4400,117.4400,117.2900,117.2900,300
187,2016-03-29 14:21:00,117.3900,117.3900,117.3900,117.3900,100
188,2016-03-29 14:22:00,117.3900,117.3900,117.0218,117.0218,714
189,2016-03-29 14:26:00,117.1900,117.3000,117.1900,117.3000,600
190,2016-03-29 14:27:00,117.3300,117.3600,117.3300,117.3400,400
191,2016-03-29 14:28:00,117.3500,117.3900,117.3500,117.3900,500
192,2016-03-29 14:30:00,117.4700,117.4700,117.4700,117.4700,100
193,2016-03-29 14:31:00,117.4600,117.4600,117.4600,117.4600,100
194,2016-03-29 14:32:00,117.3400,117.3400,117.3400,117.3400,100
195,2016-03-29 14:34:00,117.4200,117.4200,117.3100,117.4200,400
196,2016-03-29 14:36:00,117.3300,117.3300,117.3200,117.3200,900
197,2016-03-29 14:38:00,117.3500,117.3800,117.3500,117.3800,300
198,2016-03-29 14:40:00,117.3600,117.4200,117.3100,117.3100,400
199,2016-03-29 14:41:00,117.3600,117.3600,117.2500,117.2500,2200
200,2016-03-29 14:42:00,117.2200,117.3000,117.1600,117.1700,1200
201,2016-03-29 14:44:00,117.1100,117.2300,117.0900,117.2300,300
202,2016-03-29 14:45:00,117.2100,117.2200,117.2100,117.2200,200
203,2016-03-29 14:46:00,117.2600,117.3100,117.2600,117.3100,400
204,2016-03-29 14:51:00,117.3600,117.4100,117.3600,117.4100,500
205,2016-03-29 14:52:00,117.4100,117.4100,117.4100,117.4100,200
206,2016-03-29 14:53:00,117.5000,117.5000,117.5000,117.5000,100
207,2016-03-29 14:54:00,117.4800,117.4800,117.3800,117.3800,200
208,2016-03-29 14:56:00,117.4200,117.4700,117.2100,117.2500,3200
209,2016-03-29 14:57:00,117.2200,117.2200,117.2100,117.2100,600
210,2016-03-29 15:00:00,117.2200,117.3700,117.2000,117.3700,300
211,2016-03-29 15:03:00,117.3700,117.3700,117.2344,117.2344,339
212,2016-03-29 15:04:00,117.3700,117.3700,117.3700,117.3700,100
213,2016-03-29 15:05:00,117.1900,117.3700,117.1900,117.3700,200
214,2016-03-29 15:07:00,117.3700,117.3700,117.3700,117.3700,200
215,2016-03-29 15:09:00,117.3700,117.3700,117.3700,117.3700,100
216,2016-03-29 15:10:00,117.2200,117.2200,117.2200,117.2200,145
217,2016-03-29 15:11:00,117.3700,117.3700,117.3700,117.3700,200
218,2016-03-29 15:13:00,117.3100,117.3700,117.3100,117.3700,200
219,2016-03-29 15:15:00,117.3600,117.3600,117.2500,117.2500,300
220,2016-03-29 15:17:00,117.3700,117.3700,117.3700,117.3700,100
221,2016-03-29 15:18:00,117.3700,117.3700,117.3700,117.3700,100
