,date,open,high,low,close,volume
0,2016-03-29 09:30:00,183.5200,183.5200,183.5200,183.5200,585
1,2016-03-29 10:04:00,182.2600,182.2600,182.2600,182.2600,100
2,2016-03-29 10:07:00,182.3200,182.3200,182.3200,182.3200,100
3,2016-03-29 10:17:00,182.2200,182.2200,182.2200,182.2200,100
4,2016-03-29 10:27:00,182.6725,183.2300,182.6725,182.6810,300
5,2016-03-29 10:34:00,182.9400,182.9400,182.9400,182.9400,100
6,2016-03-29 10:41:00,182.5800,183.2600,182.5800,183.2600,300
7,2016-03-29 10:42:00,182.9000,183.7000,182.8500,183.7000,3400
8,2016-03-29 10:43:00,183.8600,183.8600,183.2800,183.2800,1200
9,2016-03-29 10:44:00,183.4500,183.4500,183.4500,183.4500,100
10,2016-03-29 10:45:00,183.6200,183.6200,183.6200,183.6200,100
11,2016-03-29 10:46:00,183.7000,183.7700,183.6000,183.6000,500
12,2016-03-29 10:47:00,183.5900,183.5900,183.3500,183.3500,1300
13,2016-03-29 10:48:00,183.3500,183.5000,183.2100,183.2100,300
14,2016-03-29 10:49:00,183.1600,183.9000,183.1600,183.8100,3000
15,2016-03-29 10:50:00,184.0000,184.0000,184.0000,184.0000,100
16,2016-03-29 10:51:00,183.9000,184.1400,183.9000,184.1400,538
17,2016-03-29 10:53:00,184.3400,184.3500,183.9900,184.0200,700
18,2016-03-29 10:54:00,184.0100,184.0100,184.0100,184.0100,100
19,2016-03-29 10:55:00,184.0500,184.0500,183.8600,183.8600,500
20,2016-03-29 10:56:00,184.1100,184.1999,184.1100,184.1999,200
21,2016-03-29 10:57:00,183.9100,184.0500,183.9100,184.0500,300
22,2016-03-29 10:58:00,184.2000,184.2000,184.2000,184.2000,400
23,2016-03-29 10:59:00,184.3500,184.3500,184.3500,184.3500,100
24,2016-03-29 11:00:00,184.3950,184.6600,184.3950,184.6600,800
25,2016-03-29 11:03:00,184.2800,184.2800,184.2800,184.2800,300
26,2016-03-29 11:04:00,184.3800,184.3800,184.3800,184.3800,100
27,2016-03-29 11:07:00,184.2800,184.5500,184.2800,184.5500,300
28,2016-03-29 11:10:00,184.6400,184.8600,184.6400,184.8600,700
29,2016-03-29 11:11:00,184.8800,184.8800,184.8800,184.8800,300
