,date,open,high,low,close,volume
0,2016-03-29 09:30:00,33.04,33.04,33.04,33.04,10334
1,2016-03-29 09:31:00,32.98,33.09,32.98,33.0,3019
2,2016-03-29 09:32:00,33.01,33.05,33.0,33.05,4000
3,2016-03-29 09:33:00,33.06,33.06,33.06,33.06,100
4,2016-03-29 09:34:00,33.05,33.05,33.02,33.03,1000
5,2016-03-29 09:35:00,33.04,33.04,33.01,33.01,6141
6,2016-03-29 09:36:00,33.0,33.005,32.98,32.99,8861
7,2016-03-29 09:37:00,33.0,33.01,32.995,33.005,4300
8,2016-03-29 09:38:00,33.0,33.0,32.98,33.0,2210
9,2016-03-29 09:39:00,33.0,33.0,32.98,32.99,2100
10,2016-03-29 09:40:00,33.0,33.01,32.92,32.94,8303
11,2016-03-29 09:41:00,32.95,32.96,32.94,32.95,1200
12,2016-03-29 09:42:00,32.97,32.98,32.97,32.98,6855
13,2016-03-29 09:43:00,32.98,33.0,32.97,32.98,7400
14,2016-03-29 09:44:00,32.99,32.99,32.96,32.99,2534
15,2016-03-29 09:45:00,32.981,32.99,32.98,32.99,25727
16,2016-03-29 09:46:00,32.99,33.01,32.98,33.01,4641
17,2016-03-29 09:47:00,33.01,33.02,32.99,32.99,33200
18,2016-03-29 09:48:00,33.0,33.0,32.97,32.99,9841
19,2016-03-29 09:49:00,32.99,33.0,32.99,33.0,6756
20,2016-03-29 09:50:00,33.0,33.01,33.0,33.01,3501
21,2016-03-29 09:51:00,33.01,33.01,32.99,33.0,21585
22,2016-03-29 09:52:00,33.0,33.01,32.97,33.0,99345
23,2016-03-29 09:53:00,33.01,33.02,33.005,33.02,5100
24,2016-03-29 09:54:00,33.02,33.03,33.02,33.03,4669
25,2016-03-29 09:55:00,33.04,33.05,33.04,33.05,4965
26,2016-03-29 09:56:00,33.05,33.06,33.04,33.05,10001
27,2016-03-29 09:57:00,33.05,33.05,33.04,33.04,900
28,2016-03-29 09:58:00,33.04,33.05,33.01,33.03,8800
29,2016-03-29 09:59:00,33.05,33.05,33.04,33.04,8900
