,date,open,high,low,close,volume
0,2016-03-28 09:30:00,7.7800,7.7800,7.7800,7.7800,11715
1,2016-03-28 09:31:00,7.7800,7.7850,7.7800,7.7850,36700
2,2016-03-28 09:33:00,7.8000,7.8000,7.8000,7.8000,300
3,2016-03-28 10:02:00,7.7800,7.7800,7.7800,7.7800,2200
4,2016-03-28 10:03:00,7.7700,7.7700,7.7700,7.7700,1500
5,2016-03-28 10:08:00,7.7600,7.7600,7.7600,7.7600,1000
6,2016-03-28 10:09:00,7.7500,7.7500,7.7500,7.7500,1668
7,2016-03-28 10:10:00,7.7600,7.7600,7.7600,7.7600,100
8,2016-03-28 10:21:00,7.7500,7.7500,7.7500,7.7500,3332
9,2016-03-28 10:30:00,7.7400,7.7400,7.7400,7.7400,100
10,2016-03-28 11:09:00,7.7500,7.7500,7.7500,7.7500,500
11,2016-03-28 11:30:00,7.7500,7.7500,7.7500,7.7500,600
12,2016-03-28 11:45:00,7.7700,7.7700,7.7700,7.7700,500
13,2016-03-28 11:49:00,7.7800,7.7800,7.7800,7.7800,1100
14,2016-03-28 12:47:00,7.7700,7.7700,7.7700,7.7700,3675
15,2016-03-28 12:58:00,7.7700,7.7700,7.7700,7.7700,1250
16,2016-03-28 13:01:00,7.7700,7.7700,7.7700,7.7700,2875
17,2016-03-28 14:10:00,7.7800,7.7800,7.7800,7.7800,3900
18,2016-03-28 14:15:00,7.7900,7.7900,7.7900,7.7900,100
19,2016-03-28 15:14:00,7.8000,7.8000,7.8000,7.8000,500
20,2016-03-28 16:00:00,7.8000,7.8000,7.7900,7.7900,1702
21,2016-03-29 09:30:00,7.6700,7.6700,7.6700,7.6700,21045
22,2016-03-29 09:42:00,7.6600,7.6600,7.6600,7.6600,105
23,2016-03-29 09:44:00,7.6600,7.6600,7.6600,7.6600,100
24,2016-03-29 09:46:00,7.6500,7.6500,7.6500,7.6500,200
25,2016-03-29 09:58:00,7.6600,7.6600,7.6600,7.6600,100
26,2016-03-29 10:02:00,7.6700,7.6700,7.6700,7.6700,600
27,2016-03-29 10:04:00,7.6700,7.6700,7.6700,7.6700,100
28,2016-03-29 10:10:00,7.6600,7.6600,7.6600,7.6600,100
29,2016-03-29 10:19:00,7.6600,7.6600,7.6600,7.6600,200
30,2016-03-29 10:20:00,7.6600,7.6600,7.6600,7.6600,500
31,2016-03-29 10:23:00,7.6500,7.6500,7.6500,7.6500,3600
32,2016-03-29 10:33:00,7.6600,7.6600,7.6500,7.6500,300
33,2016-03-29 10:35:00,7.6500,7.6500,7.6500,7.6500,200
34,2016-03-29 10:40:00,7.6500,7.6500,7.6500,7.6500,1100
