,date,open,high,low,close,volume
0,2016-03-29 09:30:00,9.76,9.76,9.76,9.76,5471
1,2016-03-29 09:31:00,9.71,9.71,9.67,9.68,3100
2,2016-03-29 09:32:00,9.68,9.68,9.66,9.66,400
3,2016-03-29 09:33:00,9.66,9.66,9.64,9.64,898
4,2016-03-29 09:34:00,9.64,9.66,9.64,9.66,3056
5,2016-03-29 09:35:00,9.665,9.665,9.665,9.665,300
6,2016-03-29 09:36:00,9.67,9.67,9.63,9.63,7794
7,2016-03-29 09:37:00,9.63,9.64,9.6,9.6,8362
8,2016-03-29 09:38:00,9.6,9.61,9.6,9.61,9368
9,2016-03-29 09:39:00,9.61,9.6199,9.61,9.61,2400
10,2016-03-29 09:40:00,9.62,9.64,9.62,9.64,6564
11,2016-03-29 09:41:00,9.64,9.64,9.61,9.61,3000
12,2016-03-29 09:42:00,9.62,9.62,9.6,9.6,8392
13,2016-03-29 09:43:00,9.6,9.61,9.6,9.61,849
14,2016-03-29 09:44:00,9.61,9.615,9.61,9.61,17708
15,2016-03-29 09:45:00,9.62,9.63,9.62,9.63,9268
16,2016-03-29 09:46:00,9.63,9.64,9.62,9.6365,13302
17,2016-03-29 09:47:00,9.63,9.63,9.63,9.63,4400
18,2016-03-29 09:49:00,9.63,9.64,9.63,9.64,4305
19,2016-03-29 09:50:00,9.65,9.66,9.65,9.655,4600
20,2016-03-29 09:51:00,9.66,9.66,9.64,9.645,13208
21,2016-03-29 09:52:00,9.64,9.64,9.63,9.63,3600
22,2016-03-29 09:53:00,9.64,9.64,9.64,9.64,17781
23,2016-03-29 09:54:00,9.65,9.66,9.65,9.65,3632
24,2016-03-29 09:55:00,9.66,9.66,9.65,9.66,8998
25,2016-03-29 09:56:00,9.66,9.68,9.66,9.68,2500
26,2016-03-29 09:57:00,9.675,9.675,9.675,9.675,200
27,2016-03-29 09:58:00,9.68,9.685,9.68,9.68,10967
28,2016-03-29 09:59:00,9.69,9.69,9.67,9.67,7913
29,2016-03-29 10:00:00,9.68,9.695,9.68,9.68,9896
30,2016-03-29 10:01:00,9.69,9.695,9.68,9.69,1905
31,2016-03-29 10:02:00,9.69,9.69,9.68,9.68,500
32,2016-03-29 10:03:00,9.685,9.695,9.68,9.69,10652
33,2016-03-29 10:04:00,9.69,9.69,9.69,9.69,900
34,2016-03-29 10:05:00,9.6816,9.7,9.6816,9.69,12872
35,2016-03-29 10:06:00,9.68,9.685,9.68,9.685,202
36,2016-03-29 10:07:00,9.685,9.685,9.685,9.685,100
37,2016-03-29 10:08:00,9.68,9.68,9.68,9.68,1300
38,2016-03-29 10:09:00,9.68,9.68,9.66,9.66,1369
39,2016-03-29 10:10:00,9.665,9.68,9.665,9.68,5038
40,2016-03-29 10:11:00,9.68,9.68,9.67,9.67,2990
41,2016-03-29 10:12:00,9.67,9.68,9.67,9.68,1730
42,2016-03-29 10:13:00,9.67,9.67,9.66,9.67,1749
43,2016-03-29 10:14:00,9.66,9.675,9.66,9.675,7897
44,2016-03-29 10:15:00,9.67,9.67,9.665,9.67,2100
45,2016-03-29 10:16:00,9.66,9.665,9.65,9.65,3100
46,2016-03-29 10:17:00,9.65,9.65,9.65,9.65,900
47,2016-03-29 10:18:00,9.65,9.65,9.65,9.65,1900
48,2016-03-29 10:19:00,9.66,9.66,9.66,9.66,2174
49,2016-03-29 10:20:00,9.65,9.65,9.64,9.65,2200
50,2016-03-29 10:21:00,9.65,9.65,9.645,9.645,300
51,2016-03-29 10:23:00,9.65,9.66,9.65,9.66,2176
52,2016-03-29 10:24:00,9.67,9.675,9.67,9.675,1237
53,2016-03-29 10:25:00,9.68,9.68,9.68,9.68,200
54,2016-03-29 10:26:00,9.68,9.69,9.68,9.685,500
55,2016-03-29 10:27:00,9.685,9.69,9.685,9.69,1016
56,2016-03-29 10:28:00,9.685,9.685,9.685,9.685,200
57,2016-03-29 10:29:00,9.68,9.685,9.68,9.685,6920
58,2016-03-29 10:30:00,9.69,9.69,9.69,9.69,200
59,2016-03-29 10:31:00,9.69,9.69,9.685,9.69,3350
60,2016-03-29 10:32:00,9.7,9.7,9.68,9.68,4589
61,2016-03-29 10:33:00,9.68,9.68,9.68,9.68,1900
62,2016-03-29 10:34:00,9.6726,9.6726,9.6726,9.6726,900
63,2016-03-29 10:35:00,9.67,9.67,9.66,9.66,9900
64,2016-03-29 10:36:00,9.67,9.67,9.67,9.67,500
65,2016-03-29 10:37:00,9.67,9.67,9.67,9.67,1600
66,2016-03-29 10:38:00,9.67,9.67,9.67,9.67,3400
67,2016-03-29 10:39:00,9.67,9.67,9.66,9.66,2400
68,2016-03-29 10:41:00,9.67,9.67,9.67,9.67,400
69,2016-03-29 10:42:00,9.66,9.66,9.66,9.66,1746
70,2016-03-29 10:43:00,9.66,9.66,9.66,9.66,147
71,2016-03-29 10:44:00,9.65,9.65,9.65,9.65,200
72,2016-03-29 10:45:00,9.65,9.65,9.65,9.65,1000
73,2016-03-29 10:47:00,9.65,9.65,9.65,9.65,3600
74,2016-03-29 10:49:00,9.645,9.645,9.64,9.64,800
75,2016-03-29 10:50:00,9.64,9.64,9.635,9.635,2700
76,2016-03-29 10:51:00,9.635,9.635,9.635,9.635,100
77,2016-03-29 10:53:00,9.64,9.64,9.64,9.64,6351
78,2016-03-29 10:54:00,9.65,9.6515,9.645,9.645,4732
79,2016-03-29 10:56:00,9.64,9.65,9.64,9.65,2600
80,2016-03-29 10:57:00,9.64,9.64,9.64,9.64,700
81,2016-03-29 10:58:00,9.645,9.645,9.64,9.64,200
82,2016-03-29 10:59:00,9.64,9.64,9.64,9.64,300
83,2016-03-29 11:00:00,9.645,9.655,9.645,9.65,16937
84,2016-03-29 11:01:00,9.65,9.655,9.65,9.65,1800
85,2016-03-29 11:02:00,9.66,9.66,9.66,9.66,600
86,2016-03-29 11:03:00,9.66,9.66,9.65,9.65,10661
87,2016-03-29 11:04:00,9.64,9.64,9.63,9.64,8155
88,2016-03-29 11:05:00,9.65,9.65,9.64,9.64,3085
89,2016-03-29 11:09:00,9.64,9.64,9.64,9.64,1000
90,2016-03-29 11:10:00,9.64,9.64,9.64,9.64,200
91,2016-03-29 11:11:00,9.635,9.635,9.635,9.635,800
92,2016-03-29 11:13:00,9.635,9.635,9.635,9.635,200
93,2016-03-29 11:15:00,9.635,9.645,9.635,9.64,15661
94,2016-03-29 11:19:00,9.65,9.65,9.65,9.65,2303
95,2016-03-29 11:21:00,9.66,9.66,9.66,9.66,3976
96,2016-03-29 11:22:00,9.665,9.665,9.665,9.665,700
97,2016-03-29 11:23:00,9.665,9.665,9.65,9.66,11294
98,2016-03-29 11:26:00,9.66,9.66,9.66,9.66,200
99,2016-03-29 11:28:00,9.655,9.66,9.655,9.66,447
100,2016-03-29 11:29:00,9.66,9.66,9.66,9.66,300
101,2016-03-29 11:30:00,9.66,9.66,9.66,9.66,300
102,2016-03-29 11:31:00,9.66,9.665,9.66,9.66,22234
103,2016-03-29 11:32:00,9.66,9.665,9.66,9.66,4517
104,2016-03-29 11:35:00,9.66,9.66,9.66,9.66,200
105,2016-03-29 11:36:00,9.655,9.655,9.655,9.655,200
106,2016-03-29 11:37:00,9.66,9.66,9.66,9.66,200
107,2016-03-29 11:38:00,9.66,9.66,9.66,9.66,100
108,2016-03-29 11:39:00,9.66,9.66,9.66,9.66,400
109,2016-03-29 11:40:00,9.66,9.67,9.66,9.66,6500
110,2016-03-29 11:41:00,9.665,9.67,9.665,9.67,600
111,2016-03-29 11:42:00,9.67,9.67,9.67,9.67,1800
112,2016-03-29 11:43:00,9.67,9.68,9.67,9.68,5400
113,2016-03-29 11:44:00,9.68,9.68,9.68,9.68,300
114,2016-03-29 11:45:00,9.68,9.69,9.67,9.68,37959
115,2016-03-29 11:46:00,9.68,9.69,9.67,9.68,9273
116,2016-03-29 11:47:00,9.68,9.68,9.68,9.68,900
117,2016-03-29 11:48:00,9.68,9.68,9.675,9.68,1800
118,2016-03-29 11:49:00,9.68,9.68,9.68,9.68,100
119,2016-03-29 11:50:00,9.68,9.7,9.68,9.68,41095
120,2016-03-29 11:51:00,9.69,9.7,9.69,9.7,8210
121,2016-03-29 11:52:00,9.7,9.705,9.7,9.7,10340
122,2016-03-29 11:54:00,9.69,9.69,9.685,9.69,1500
123,2016-03-29 11:58:00,9.68,9.68,9.67,9.67,2600
124,2016-03-29 12:01:00,9.67,9.67,9.665,9.67,3000
125,2016-03-29 12:02:00,9.67,9.68,9.67,9.67,13900
126,2016-03-29 12:04:00,9.6631,9.68,9.6631,9.67,13500
127,2016-03-29 12:05:00,9.67,9.675,9.67,9.67,4705
128,2016-03-29 12:07:00,9.68,9.69,9.68,9.68,4433
129,2016-03-29 12:09:00,9.68,9.68,9.67,9.67,3065
130,2016-03-29 12:14:00,9.68,9.69,9.68,9.68,10079
131,2016-03-29 12:15:00,9.6836,9.685,9.68,9.685,366
132,2016-03-29 12:16:00,9.69,9.69,9.67,9.68,9446
133,2016-03-29 12:17:00,9.68,9.69,9.68,9.68,3234
134,2016-03-29 12:18:00,9.69,9.69,9.69,9.69,300
135,2016-03-29 12:19:00,9.68,9.685,9.67,9.67,19139
136,2016-03-29 12:20:00,9.67,9.68,9.67,9.675,7033
137,2016-03-29 12:21:00,9.67,9.69,9.67,9.68,14115
138,2016-03-29 12:22:00,9.67,9.67,9.66,9.67,14073
139,2016-03-29 12:23:00,9.67,9.68,9.67,9.67,14733
140,2016-03-29 12:24:00,9.67,9.68,9.665,9.675,12121
141,2016-03-29 12:25:00,9.67,9.67,9.67,9.67,2433
142,2016-03-29 12:26:00,9.66,9.66,9.65,9.655,3150
143,2016-03-29 12:27:00,9.65,9.655,9.645,9.65,2800
144,2016-03-29 12:29:00,9.65,9.66,9.65,9.66,1900
145,2016-03-29 12:31:00,9.66,9.665,9.65,9.66,9258
146,2016-03-29 12:32:00,9.66,9.66,9.66,9.66,600
147,2016-03-29 12:33:00,9.6665,9.6665,9.65,9.66,6854
148,2016-03-29 12:34:00,9.655,9.66,9.65,9.655,1350
149,2016-03-29 12:35:00,9.65,9.655,9.64,9.65,5720
150,2016-03-29 12:36:00,9.65,9.65,9.65,9.65,1700
151,2016-03-29 12:37:00,9.65,9.66,9.65,9.65,2800
152,2016-03-29 12:39:00,9.65,9.655,9.65,9.65,1900
153,2016-03-29 12:40:00,9.65,9.655,9.64,9.65,3980
154,2016-03-29 12:41:00,9.65,9.66,9.64,9.66,20462
155,2016-03-29 12:42:00,9.65,9.66,9.645,9.65,4500
156,2016-03-29 12:43:00,9.65,9.655,9.64,9.65,10832
157,2016-03-29 12:44:00,9.65,9.66,9.65,9.66,5450
158,2016-03-29 12:45:00,9.655,9.66,9.65,9.655,2700
159,2016-03-29 12:46:00,9.655,9.66,9.64,9.65,8972
160,2016-03-29 12:47:00,9.645,9.645,9.645,9.645,100
161,2016-03-29 12:49:00,9.6499,9.65,9.6499,9.65,1600
162,2016-03-29 12:50:00,9.64,9.645,9.635,9.64,8558
163,2016-03-29 12:51:00,9.64,9.65,9.635,9.64,23883
164,2016-03-29 12:53:00,9.64,9.65,9.64,9.64,7760
165,2016-03-29 12:54:00,9.64,9.64,9.64,9.64,100
166,2016-03-29 12:55:00,9.64,9.64,9.64,9.64,300
167,2016-03-29 12:57:00,9.63,9.63,9.63,9.63,850
168,2016-03-29 12:58:00,9.63,9.63,9.63,9.63,100
169,2016-03-29 12:59:00,9.63,9.635,9.63,9.6334,1270
170,2016-03-29 13:01:00,9.64,9.645,9.64,9.645,9900
171,2016-03-29 13:02:00,9.64,9.645,9.63,9.63,2600
172,2016-03-29 13:03:00,9.635,9.635,9.635,9.635,200
173,2016-03-29 13:04:00,9.64,9.65,9.64,9.65,2564
174,2016-03-29 13:06:00,9.64,9.64,9.635,9.64,1788
175,2016-03-29 13:08:00,9.63,9.63,9.63,9.63,100
176,2016-03-29 13:09:00,9.63,9.63,9.63,9.63,300
177,2016-03-29 13:10:00,9.64,9.64,9.64,9.64,5741
178,2016-03-29 13:11:00,9.64,9.64,9.64,9.64,1000
179,2016-03-29 13:12:00,9.635,9.64,9.635,9.64,3500
180,2016-03-29 13:13:00,9.64,9.64,9.64,9.64,1300
181,2016-03-29 13:14:00,9.6301,9.635,9.6301,9.635,1300
182,2016-03-29 13:15:00,9.63,9.635,9.63,9.635,3076
183,2016-03-29 13:16:00,9.635,9.635,9.635,9.635,200
184,2016-03-29 13:17:00,9.64,9.65,9.64,9.64,12668
185,2016-03-29 13:18:00,9.645,9.65,9.645,9.65,1000
186,2016-03-29 13:19:00,9.65,9.65,9.65,9.65,300
187,2016-03-29 13:20:00,9.65,9.65,9.645,9.645,300
188,2016-03-29 13:21:00,9.64,9.645,9.63,9.64,9595
189,2016-03-29 13:22:00,9.64,9.645,9.635,9.635,20549
190,2016-03-29 13:23:00,9.63,9.63,9.63,9.63,200
191,2016-03-29 13:25:00,9.63,9.635,9.62,9.62,7350
192,2016-03-29 13:28:00,9.63,9.63,9.61,9.61,8650
193,2016-03-29 13:29:00,9.61,9.61,9.6035,9.6035,2227
194,2016-03-29 13:31:00,9.61,9.61,9.61,9.61,300
195,2016-03-29 13:32:00,9.61,9.62,9.61,9.62,56432
196,2016-03-29 13:34:00,9.62,9.62,9.62,9.62,1400
197,2016-03-29 13:35:00,9.61,9.615,9.61,9.615,1900
198,2016-03-29 13:36:00,9.61,9.6199,9.61,9.61,29100
199,2016-03-29 13:37:00,9.61,9.61,9.61,9.61,1324
200,2016-03-29 13:41:00,9.62,9.63,9.62,9.63,800
201,2016-03-29 13:42:00,9.63,9.63,9.63,9.63,200
202,2016-03-29 13:43:00,9.63,9.63,9.63,9.63,200
203,2016-03-29 13:45:00,9.63,9.63,9.63,9.63,1500
204,2016-03-29 13:46:00,9.63,9.635,9.63,9.635,9950
205,2016-03-29 13:48:00,9.635,9.635,9.6301,9.6301,200
206,2016-03-29 13:49:00,9.63,9.645,9.63,9.63,11200
207,2016-03-29 13:50:00,9.64,9.64,9.63,9.63,300
208,2016-03-29 13:51:00,9.635,9.635,9.635,9.635,400
209,2016-03-29 13:52:00,9.64,9.64,9.64,9.64,4426
210,2016-03-29 13:53:00,9.64,9.64,9.64,9.64,200
211,2016-03-29 13:54:00,9.64,9.64,9.64,9.64,200
212,2016-03-29 13:55:00,9.64,9.64,9.635,9.64,4400
213,2016-03-29 13:56:00,9.635,9.64,9.63,9.635,3300
214,2016-03-29 13:57:00,9.635,9.64,9.62,9.62,9326
215,2016-03-29 13:58:00,9.625,9.63,9.625,9.63,200
216,2016-03-29 14:00:00,9.625,9.625,9.625,9.625,100
217,2016-03-29 14:01:00,9.625,9.625,9.62,9.62,500
218,2016-03-29 14:02:00,9.625,9.625,9.625,9.625,200
219,2016-03-29 14:03:00,9.625,9.635,9.625,9.635,7648
220,2016-03-29 14:04:00,9.635,9.635,9.635,9.635,300
221,2016-03-29 14:05:00,9.635,9.64,9.63,9.63,19782
222,2016-03-29 14:06:00,9.635,9.64,9.635,9.64,1540
223,2016-03-29 14:07:00,9.635,9.635,9.635,9.635,300
224,2016-03-29 14:08:00,9.635,9.635,9.635,9.635,300
225,2016-03-29 14:09:00,9.64,9.64,9.6399,9.64,800
226,2016-03-29 14:10:00,9.64,9.64,9.6301,9.64,1200
227,2016-03-29 14:11:00,9.64,9.65,9.64,9.645,37066
228,2016-03-29 14:12:00,9.645,9.645,9.645,9.645,100
229,2016-03-29 14:13:00,9.65,9.65,9.65,9.65,300
230,2016-03-29 14:14:00,9.65,9.65,9.64,9.64,3170
231,2016-03-29 14:15:00,9.65,9.65,9.645,9.65,4416
232,2016-03-29 14:16:00,9.645,9.65,9.64,9.64,14572
233,2016-03-29 14:17:00,9.645,9.645,9.63,9.64,13600
234,2016-03-29 14:18:00,9.64,9.64,9.64,9.64,11377
235,2016-03-29 14:19:00,9.64,9.64,9.635,9.64,5417
236,2016-03-29 14:20:00,9.64,9.64,9.635,9.64,5000
237,2016-03-29 14:21:00,9.64,9.64,9.635,9.64,5200
238,2016-03-29 14:22:00,9.635,9.64,9.62,9.6299,24974
239,2016-03-29 14:23:00,9.6292,9.63,9.6292,9.63,500
240,2016-03-29 14:24:00,9.63,9.64,9.6225,9.64,14180
241,2016-03-29 14:25:00,9.63,9.64,9.63,9.64,2900
242,2016-03-29 14:26:00,9.64,9.64,9.64,9.64,100
243,2016-03-29 14:27:00,9.635,9.64,9.635,9.64,700
244,2016-03-29 14:28:00,9.64,9.645,9.63,9.64,18805
245,2016-03-29 14:29:00,9.64,9.64,9.64,9.64,200
246,2016-03-29 14:30:00,9.64,9.65,9.64,9.645,17371
247,2016-03-29 14:31:00,9.65,9.65,9.645,9.645,700
248,2016-03-29 14:32:00,9.645,9.65,9.645,9.65,400
249,2016-03-29 14:33:00,9.65,9.66,9.65,9.66,8835
250,2016-03-29 14:34:00,9.66,9.66,9.66,9.66,1600
251,2016-03-29 14:35:00,9.66,9.665,9.65,9.6592,27006
252,2016-03-29 14:36:00,9.66,9.66,9.66,9.66,100
253,2016-03-29 14:37:00,9.66,9.66,9.66,9.66,2164
254,2016-03-29 14:38:00,9.66,9.67,9.66,9.665,13832
255,2016-03-29 14:39:00,9.67,9.68,9.6671,9.675,6150
256,2016-03-29 14:40:00,9.675,9.68,9.675,9.68,1500
257,2016-03-29 14:41:00,9.675,9.68,9.675,9.68,1000
258,2016-03-29 14:42:00,9.675,9.68,9.67,9.675,2735
259,2016-03-29 14:43:00,9.675,9.68,9.675,9.68,500
260,2016-03-29 14:44:00,9.675,9.68,9.675,9.68,3700
261,2016-03-29 14:45:00,9.68,9.68,9.68,9.68,1800
262,2016-03-29 14:46:00,9.68,9.68,9.68,9.68,6200
263,2016-03-29 14:47:00,9.68,9.69,9.68,9.68,23588
264,2016-03-29 14:48:00,9.69,9.69,9.69,9.69,647
265,2016-03-29 14:49:00,9.68,9.685,9.67,9.67,13120
266,2016-03-29 14:50:00,9.68,9.68,9.675,9.68,6300
267,2016-03-29 14:51:00,9.68,9.68,9.675,9.68,500
268,2016-03-29 14:52:00,9.68,9.68,9.68,9.68,600
269,2016-03-29 14:53:00,9.68,9.68,9.67,9.68,1000
270,2016-03-29 14:54:00,9.68,9.68,9.67,9.675,600
271,2016-03-29 14:55:00,9.675,9.68,9.67,9.68,2700
272,2016-03-29 14:56:00,9.68,9.68,9.66,9.665,46232
273,2016-03-29 14:57:00,9.67,9.675,9.67,9.67,14137
274,2016-03-29 14:58:00,9.67,9.67,9.67,9.67,300
275,2016-03-29 14:59:00,9.675,9.675,9.67,9.67,300
276,2016-03-29 15:00:00,9.675,9.68,9.67,9.67,1541
277,2016-03-29 15:01:00,9.675,9.68,9.675,9.675,1200
278,2016-03-29 15:02:00,9.675,9.675,9.67,9.675,800
279,2016-03-29 15:03:00,9.675,9.675,9.67,9.675,4000
280,2016-03-29 15:04:00,9.675,9.675,9.67,9.675,500
281,2016-03-29 15:05:00,9.68,9.68,9.68,9.68,1200
282,2016-03-29 15:06:00,9.68,9.685,9.68,9.68,27017
283,2016-03-29 15:07:00,9.69,9.69,9.685,9.685,200
284,2016-03-29 15:08:00,9.69,9.69,9.685,9.685,400
285,2016-03-29 15:09:00,9.685,9.69,9.68,9.69,700
286,2016-03-29 15:10:00,9.685,9.69,9.68,9.69,700
287,2016-03-29 15:11:00,9.69,9.69,9.68,9.69,3700
288,2016-03-29 15:12:00,9.69,9.69,9.69,9.69,5300
289,2016-03-29 15:13:00,9.69,9.69,9.69,9.69,2500
290,2016-03-29 15:14:00,9.69,9.69,9.69,9.69,900
291,2016-03-29 15:15:00,9.69,9.695,9.69,9.69,86404
292,2016-03-29 15:16:00,9.7,9.7,9.68,9.685,7269
293,2016-03-29 15:17:00,9.69,9.69,9.69,9.69,300
294,2016-03-29 15:19:00,9.69,9.69,9.69,9.69,400
295,2016-03-29 15:20:00,9.69,9.69,9.685,9.685,600
296,2016-03-29 15:21:00,9.69,9.69,9.69,9.69,13693
297,2016-03-29 15:22:00,9.69,9.69,9.69,9.69,4200
298,2016-03-29 15:23:00,9.69,9.69,9.685,9.69,1700
299,2016-03-29 15:24:00,9.69,9.695,9.69,9.695,2973
300,2016-03-29 15:25:00,9.6902,9.7,9.6902,9.7,2050
301,2016-03-29 15:26:00,9.7,9.7,9.695,9.7,2000
302,2016-03-29 15:27:00,9.7,9.7,9.7,9.7,2900
303,2016-03-29 15:28:00,9.7,9.71,9.7,9.71,24308
304,2016-03-29 15:29:00,9.705,9.71,9.705,9.71,756
305,2016-03-29 15:30:00,9.71,9.71,9.71,9.71,1200
306,2016-03-29 15:31:00,9.705,9.71,9.705,9.71,1355
307,2016-03-29 15:32:00,9.71,9.71,9.705,9.71,1540
308,2016-03-29 15:33:00,9.71,9.71,9.69,9.695,29993
309,2016-03-29 15:35:00,9.69,9.695,9.69,9.69,6833
310,2016-03-29 15:36:00,9.69,9.695,9.69,9.695,2674
311,2016-03-29 15:37:00,9.69,9.7,9.69,9.695,600
312,2016-03-29 15:38:00,9.695,9.695,9.69,9.695,3874
313,2016-03-29 15:39:00,9.69,9.695,9.69,9.69,4900
314,2016-03-29 15:40:00,9.69,9.695,9.68,9.685,16445
315,2016-03-29 15:41:00,9.68,9.685,9.68,9.68,1500
316,2016-03-29 15:42:00,9.68,9.685,9.68,9.68,8700
317,2016-03-29 15:43:00,9.68,9.69,9.68,9.69,5400
318,2016-03-29 15:44:00,9.68,9.69,9.675,9.675,17733
319,2016-03-29 15:45:00,9.675,9.675,9.67,9.675,7930
320,2016-03-29 15:46:00,9.675,9.675,9.67,9.675,700
321,2016-03-29 15:47:00,9.67,9.68,9.67,9.675,6350
322,2016-03-29 15:48:00,9.67,9.68,9.67,9.68,5900
323,2016-03-29 15:49:00,9.675,9.68,9.675,9.68,4009
324,2016-03-29 15:50:00,9.68,9.68,9.67,9.675,11080
325,2016-03-29 15:51:00,9.675,9.68,9.675,9.68,1700
326,2016-03-29 15:52:00,9.68,9.69,9.68,9.69,24674
327,2016-03-29 15:53:00,9.69,9.7,9.69,9.69,12588
328,2016-03-29 15:54:00,9.69,9.7,9.69,9.695,11747
329,2016-03-29 15:55:00,9.695,9.7,9.69,9.695,6920
330,2016-03-29 15:56:00,9.695,9.7,9.695,9.7,6297
331,2016-03-29 15:57:00,9.7,9.72,9.7,9.705,79540
332,2016-03-29 15:58:00,9.705,9.705,9.7,9.705,4971
333,2016-03-29 15:59:00,9.71,9.71,9.705,9.71,29073
334,2016-03-29 16:00:00,9.71,9.72,9.71,9.71,273494
335,2016-03-30 09:30:00,9.76,9.76,9.76,9.76,8837
336,2016-03-30 09:31:00,9.74,9.765,9.7371,9.7371,6831
337,2016-03-30 09:32:00,9.74,9.76,9.74,9.76,2800
338,2016-03-30 09:33:00,9.75,9.75,9.73,9.75,1600
339,2016-03-30 09:34:00,9.755,9.77,9.755,9.76,3486
340,2016-03-30 09:35:00,9.76,9.765,9.76,9.765,600
341,2016-03-30 09:36:00,9.765,9.77,9.75,9.75,3030
342,2016-03-30 09:37:00,9.745,9.75,9.74,9.745,5107
343,2016-03-30 09:38:00,9.74,9.75,9.74,9.75,1224
344,2016-03-30 09:39:00,9.74,9.745,9.74,9.745,455
345,2016-03-30 09:40:00,9.75,9.76,9.75,9.76,6961
346,2016-03-30 09:41:00,9.755,9.755,9.75,9.75,1819
347,2016-03-30 09:42:00,9.76,9.76,9.76,9.76,700
348,2016-03-30 09:43:00,9.77,9.77,9.75,9.77,8542
349,2016-03-30 09:44:00,9.78,9.78,9.77,9.77,1281
350,2016-03-30 09:45:00,9.76,9.76,9.76,9.76,200
351,2016-03-30 09:46:00,9.765,9.78,9.765,9.78,1704
352,2016-03-30 09:47:00,9.77,9.78,9.77,9.78,3600
353,2016-03-30 09:48:00,9.78,9.8,9.78,9.8,6669
354,2016-03-30 09:49:00,9.8,9.81,9.79,9.79,3721
355,2016-03-30 09:50:00,9.795,9.81,9.795,9.8,8944
356,2016-03-30 09:51:00,9.8,9.8,9.8,9.8,200
357,2016-03-30 09:52:00,9.805,9.805,9.79,9.79,2750
358,2016-03-30 09:53:00,9.8,9.8,9.8,9.8,400
359,2016-03-30 09:54:00,9.8,9.81,9.8,9.8023,9365
360,2016-03-30 09:55:00,9.8,9.8,9.79,9.79,3600
361,2016-03-30 09:56:00,9.79,9.79,9.78,9.785,2100
362,2016-03-30 09:57:00,9.79,9.79,9.78,9.79,1093
363,2016-03-30 09:58:00,9.79,9.79,9.79,9.79,100
