,date,open,high,low,close,volume
0,2016-03-29 09:30:00,83.32,83.32,83.32,83.32,24672
1,2016-03-29 09:31:00,83.34,83.36,83.19,83.31,5654
2,2016-03-29 09:32:00,83.3,83.46,83.27,83.41,12929
3,2016-03-29 09:33:00,83.44,83.47,83.368,83.4305,11700
4,2016-03-29 09:34:00,83.44,83.44,83.4,83.43,2872
5,2016-03-29 09:35:00,83.425,83.43,83.41,83.42,1300
6,2016-03-29 09:36:00,83.42,83.43,83.38,83.415,6603
7,2016-03-29 09:37:00,83.4,83.41,83.38,83.41,5300
8,2016-03-29 09:38:00,83.42,83.5,83.38,83.45,6736
9,2016-03-29 09:39:00,83.48,83.49,83.43,83.48,6000
10,2016-03-29 09:40:00,83.5,83.65,83.45,83.48,9924
11,2016-03-29 09:41:00,83.465,83.52,83.45,83.49,1600
12,2016-03-29 09:42:00,83.46,83.51,83.46,83.48,5575
13,2016-03-29 09:43:00,83.47,83.48,83.44,83.465,1200
14,2016-03-29 09:44:00,83.44,83.72,83.43,83.72,14861
15,2016-03-29 09:45:00,83.67,83.75,83.55,83.72,10717
16,2016-03-29 09:46:00,83.685,83.8,83.6,83.66,15489
17,2016-03-29 09:47:00,83.62,83.81,83.61,83.68,15704
18,2016-03-29 09:48:00,83.69,83.85,83.67,83.72,17675
19,2016-03-29 09:49:00,83.7,83.73,83.605,83.62,17861
20,2016-03-29 09:50:00,83.59,83.72,83.575,83.655,18983
21,2016-03-29 09:51:00,83.65,83.72,83.57,83.64,27295
22,2016-03-29 09:52:00,83.62,83.67,83.6,83.64,29441
23,2016-03-29 09:53:00,83.65,83.65,83.51,83.59,59535
24,2016-03-29 09:54:00,83.59,83.64,83.55,83.61,24181
25,2016-03-29 09:55:00,83.6,83.61,83.5,83.57,31149
26,2016-03-29 09:56:00,83.57,83.61,83.53,83.6,20455
27,2016-03-29 09:57:00,83.59,83.63,83.53,83.56,10828
28,2016-03-29 09:58:00,83.58,83.63,83.58,83.6,23290
29,2016-03-29 09:59:00,83.6,83.64,83.54,83.61,21090
30,2016-03-29 10:00:00,83.63,83.67,83.63,83.65,10590
31,2016-03-29 10:01:00,83.65,83.67,83.65,83.66,7191
32,2016-03-29 10:02:00,83.65,83.67,83.63,83.63,11800
33,2016-03-29 10:03:00,83.63,83.64,83.59,83.59,4400
34,2016-03-29 10:04:00,83.6,83.65,83.6,83.64,75851
35,2016-03-29 10:05:00,83.65,83.65,83.63,83.63,5479
36,2016-03-29 10:06:00,83.62,83.6499,83.5901,83.61,6082
37,2016-03-29 10:07:00,83.6,83.61,83.56,83.58,5340
38,2016-03-29 10:08:00,83.58,83.585,83.56,83.585,4833
