,date,open,high,low,close,volume
0,2016-03-29 09:30:00,92.85,92.85,92.85,92.85,688
1,2016-03-29 09:31:00,93.02,93.08,93.02,93.08,200
2,2016-03-29 09:32:00,93.06,93.06,93.06,93.06,100
3,2016-03-29 09:33:00,93.01,93.01,93.01,93.01,148
4,2016-03-29 09:34:00,93.01,93.01,93.01,93.01,100
5,2016-03-29 09:36:00,93.14,93.2,93.14,93.2,200
6,2016-03-29 09:37:00,93.13,93.14,93.12,93.125,1300
7,2016-03-29 09:38:00,93.12,93.12,93.08,93.12,1700
8,2016-03-29 09:42:00,93.24,93.24,93.24,93.24,100
9,2016-03-29 09:43:00,93.26,93.28,93.17,93.17,500
10,2016-03-29 09:44:00,93.28,93.3,93.21,93.21,500
11,2016-03-29 09:45:00,93.21,93.25,93.185,93.19,1727
12,2016-03-29 09:47:00,93.26,93.26,93.26,93.26,200
13,2016-03-29 09:48:00,93.31,93.31,93.265,93.265,300
14,2016-03-29 09:49:00,93.33,93.36,93.33,93.36,1300
15,2016-03-29 09:50:00,93.36,93.43,93.36,93.4,1403
16,2016-03-29 09:51:00,93.42,93.42,93.42,93.42,200
17,2016-03-29 09:55:00,93.42,93.46,93.42,93.46,800
18,2016-03-29 09:56:00,93.46,93.49,93.46,93.49,600
19,2016-03-29 09:57:00,93.5,93.5,93.5,93.5,100
20,2016-03-29 09:58:00,93.54,93.54,93.54,93.54,100
21,2016-03-29 09:59:00,93.6,93.6,93.58,93.58,300
22,2016-03-29 10:00:00,93.58,93.58,93.58,93.58,100
23,2016-03-29 10:01:00,93.6,93.64,93.58,93.64,500
24,2016-03-29 10:02:00,93.64,93.64,93.63,93.64,500
25,2016-03-29 10:05:00,93.6,93.62,93.6,93.61,400
26,2016-03-29 10:06:00,93.62,93.62,93.62,93.62,400
27,2016-03-29 10:07:00,93.58,93.58,93.56,93.57,1101
28,2016-03-29 10:09:00,93.58,93.58,93.58,93.58,330
29,2016-03-29 10:10:00,93.55,93.57,93.55,93.56,600
