,date,open,high,low,close,volume
0,2016-03-29 09:31:00,97.28,97.35,97.165,97.165,13866
1,2016-03-29 09:32:00,97.1291,97.26,96.97,97.245,1849
2,2016-03-29 09:35:00,97.07,97.09,97.07,97.07,400
3,2016-03-29 09:36:00,96.99,97.225,96.99,97.175,2018
4,2016-03-29 09:37:00,96.98,97.14,96.86,97.09,2500
5,2016-03-29 09:38:00,97.05,97.05,96.94,96.94,500
6,2016-03-29 09:39:00,96.93,97.13,96.93,97.12,4122
7,2016-03-29 09:40:00,97.09,97.12,97.01,97.12,2800
8,2016-03-29 09:41:00,97.11,97.13,97.1,97.13,400
9,2016-03-29 09:42:00,97.09,97.15,97.08,97.15,2500
10,2016-03-29 09:43:00,97.16,97.27,97.16,97.27,1700
11,2016-03-29 09:44:00,97.28,97.41,97.25,97.41,2303
12,2016-03-29 09:45:00,97.46,97.46,97.46,97.46,782
13,2016-03-29 09:46:00,97.45,97.49,97.39,97.49,1703
14,2016-03-29 09:47:00,97.48,97.48,97.37,97.44,1101
15,2016-03-29 09:48:00,97.415,97.415,97.38,97.415,600
16,2016-03-29 09:49:00,97.36,97.405,97.33,97.405,1805
17,2016-03-29 09:50:00,97.38,97.41,97.38,97.41,200
18,2016-03-29 09:51:00,97.38,97.41,97.27,97.28,4644
19,2016-03-29 09:52:00,97.225,97.41,97.225,97.41,7881
20,2016-03-29 09:53:00,97.36,97.38,97.36,97.38,300
21,2016-03-29 09:54:00,97.38,97.66,97.38,97.66,29941
22,2016-03-29 09:55:00,97.63,97.64,97.6,97.6,400
23,2016-03-29 09:56:00,97.6,97.6,97.6,97.6,100
24,2016-03-29 09:57:00,97.67,97.67,97.6,97.6,1503
25,2016-03-29 09:58:00,97.66,97.67,97.66,97.67,459
26,2016-03-29 09:59:00,97.7,97.73,97.69,97.73,1801
27,2016-03-29 10:01:00,97.79,97.96,97.62,97.73,9302
28,2016-03-29 10:02:00,97.64,97.71,97.62,97.64,1481
29,2016-03-29 10:03:00,97.63,97.66,97.63,97.66,200
30,2016-03-29 10:04:00,97.65,97.73,97.65,97.73,1904
31,2016-03-29 10:05:00,97.69,97.74,97.625,97.625,2000
32,2016-03-29 10:06:00,97.66,97.66,97.58,97.58,1000
33,2016-03-29 10:07:00,97.57,97.57,97.52,97.525,1300
34,2016-03-29 10:08:00,97.55,97.55,97.52,97.55,400
35,2016-03-29 10:09:00,97.5,97.6,97.5,97.6,1100
36,2016-03-29 10:10:00,97.58,97.63,97.58,97.63,200
37,2016-03-29 10:11:00,97.65,97.7,97.65,97.7,900
38,2016-03-29 10:12:00,97.66,97.66,97.57,97.57,900
39,2016-03-29 10:13:00,97.57,97.65,97.57,97.6,800
40,2016-03-29 10:14:00,97.56,97.61,97.56,97.61,600
41,2016-03-29 10:15:00,97.61,97.61,97.49,97.49,1300
42,2016-03-29 10:16:00,97.57,97.61,97.55,97.55,1010
43,2016-03-29 10:17:00,97.48,97.53,97.48,97.49,600
44,2016-03-29 10:18:00,97.53,97.56,97.46,97.56,600
45,2016-03-29 10:19:00,97.56,97.62,97.56,97.57,707
46,2016-03-29 10:20:00,97.63,97.64,97.54,97.545,1400
47,2016-03-29 10:21:00,97.49,97.53,97.44,97.52,3003
48,2016-03-29 10:22:00,97.47,97.52,97.47,97.52,400
49,2016-03-29 10:23:00,97.545,97.62,97.545,97.58,5556
50,2016-03-29 10:24:00,97.59,97.5945,97.57,97.59,1100
51,2016-03-29 10:25:00,97.6,97.63,97.6,97.63,300
52,2016-03-29 10:26:00,97.6,97.6,97.6,97.6,200
53,2016-03-29 10:27:00,97.61,97.65,97.59,97.615,5202
54,2016-03-29 10:28:00,97.59,97.615,97.59,97.615,400
55,2016-03-29 10:29:00,97.5,97.56,97.5,97.55,500
56,2016-03-29 10:31:00,97.52,97.67,97.52,97.67,2000
57,2016-03-29 10:32:00,97.65,97.7,97.63,97.68,1800
58,2016-03-29 10:33:00,97.64,97.67,97.63,97.63,1393
59,2016-03-29 10:34:00,97.65,97.65,97.65,97.65,200
60,2016-03-29 10:35:00,97.62,97.71,97.59,97.71,4302
61,2016-03-29 10:36:00,97.7,97.72,97.69,97.7,3200
62,2016-03-29 10:37:00,97.69,97.69,97.64,97.65,1072
63,2016-03-29 10:38:00,97.67,97.69,97.67,97.69,852
64,2016-03-29 10:39:00,97.72,97.73,97.7,97.7,700
65,2016-03-29 10:40:00,97.74,97.74,97.69,97.69,1900
66,2016-03-29 10:41:00,97.68,97.69,97.68,97.69,800
67,2016-03-29 10:42:00,97.66,97.66,97.61,97.61,1300
68,2016-03-29 10:43:00,97.595,97.62,97.595,97.62,600
69,2016-03-29 10:44:00,97.65,97.65,97.63,97.63,300
70,2016-03-29 10:45:00,97.64,97.64,97.62,97.62,800
71,2016-03-29 10:46:00,97.6299,97.66,97.6,97.64,1372
72,2016-03-29 10:47:00,97.67,97.72,97.66,97.66,2700
73,2016-03-29 10:48:00,97.63,97.63,97.61,97.63,933
74,2016-03-29 10:49:00,97.69,97.76,97.69,97.72,1300
75,2016-03-29 10:50:00,97.75,97.77,97.71,97.74,700
76,2016-03-29 10:51:00,97.71,97.71,97.65,97.65,1454
77,2016-03-29 10:52:00,97.68,97.68,97.68,97.68,300
78,2016-03-29 10:53:00,97.65,97.69,97.64,97.68,700
79,2016-03-29 10:54:00,97.68,97.7,97.64,97.65,1800
80,2016-03-29 10:55:00,97.64,97.73,97.63,97.69,3805
81,2016-03-29 10:56:00,97.68,97.685,97.655,97.67,1300
82,2016-03-29 10:57:00,97.63,97.665,97.63,97.665,8400
83,2016-03-29 10:58:00,97.66,97.67,97.625,97.625,2200
84,2016-03-29 10:59:00,97.63,97.69,97.63,97.69,1815
85,2016-03-29 11:00:00,97.66,97.66,97.66,97.66,100
86,2016-03-29 11:01:00,97.7,97.7,97.67,97.67,1100
87,2016-03-29 11:02:00,97.72,97.72,97.72,97.72,200
88,2016-03-29 11:03:00,97.72,97.72,97.62,97.66,3716
89,2016-03-29 11:04:00,97.66,97.66,97.57,97.57,4316
90,2016-03-29 11:05:00,97.57,97.61,97.56,97.585,2500
91,2016-03-29 11:06:00,97.58,97.63,97.58,97.63,2700
92,2016-03-29 11:07:00,97.69,97.69,97.65,97.67,1222
93,2016-03-29 11:08:00,97.65,97.67,97.65,97.67,300
94,2016-03-29 11:09:00,97.6627,97.6627,97.6627,97.6627,790
95,2016-03-29 11:10:00,97.66,97.67,97.65,97.65,1100
