,date,open,high,low,close,volume
0,2016-03-28 09:30:00,5.2800,5.2800,5.2500,5.2600,99591
1,2016-03-28 09:31:00,5.2700,5.2700,5.2700,5.2700,6000
2,2016-03-28 09:33:00,5.3000,5.3000,5.3000,5.3000,1700
3,2016-03-28 09:36:00,5.2900,5.2900,5.2900,5.2900,100
4,2016-03-28 09:39:00,5.2600,5.2600,5.2500,5.2500,12073
5,2016-03-28 09:41:00,5.2500,5.2500,5.2500,5.2500,1436
6,2016-03-28 09:45:00,5.2500,5.2500,5.2500,5.2500,523
7,2016-03-28 09:49:00,5.2400,5.2400,5.2400,5.2400,728
8,2016-03-28 09:51:00,5.2500,5.2500,5.2500,5.2500,200
9,2016-03-28 09:52:00,5.2500,5.2500,5.2500,5.2500,2300
10,2016-03-28 09:55:00,5.2700,5.2700,5.2700,5.2700,900
11,2016-03-28 09:59:00,5.2700,5.2700,5.2700,5.2700,600
12,2016-03-28 10:00:00,5.2700,5.2700,5.2700,5.2700,400
13,2016-03-28 10:01:00,5.2800,5.2800,5.2800,5.2800,100
14,2016-03-28 10:02:00,5.2600,5.2600,5.2600,5.2600,200
15,2016-03-28 10:03:00,5.2500,5.2500,5.2300,5.2300,2300
16,2016-03-28 10:09:00,5.2300,5.2300,5.2300,5.2300,700
17,2016-03-28 10:13:00,5.2400,5.2400,5.2400,5.2400,800
18,2016-03-28 10:17:00,5.2300,5.2300,5.2200,5.2200,4196
19,2016-03-28 10:19:00,5.2300,5.2300,5.2300,5.2300,600
20,2016-03-28 10:30:00,5.2200,5.2200,5.2200,5.2200,5820
21,2016-03-28 10:31:00,5.2100,5.2100,5.2000,5.2000,5780
22,2016-03-28 10:37:00,5.2000,5.2000,5.2000,5.2000,1300
23,2016-03-28 10:49:00,5.2100,5.2100,5.2100,5.2100,100
24,2016-03-28 10:53:00,5.2200,5.2200,5.2200,5.2200,100
25,2016-03-28 10:58:00,5.2200,5.2200,5.2200,5.2200,800
26,2016-03-28 11:01:00,5.2400,5.2400,5.2400,5.2400,100
27,2016-03-28 11:02:00,5.2400,5.2400,5.2400,5.2400,200
28,2016-03-28 11:09:00,5.2300,5.2300,5.2300,5.2300,247
29,2016-03-28 11:17:00,5.2200,5.2200,5.2200,5.2200,100
30,2016-03-28 11:29:00,5.2300,5.2300,5.2300,5.2300,400
31,2016-03-28 11:36:00,5.2300,5.2300,5.2300,5.2300,1000
32,2016-03-28 11:44:00,5.2300,5.2300,5.2300,5.2300,4374
33,2016-03-28 11:51:00,5.2400,5.2400,5.2400,5.2400,900
34,2016-03-28 11:57:00,5.2300,5.2300,5.2300,5.2300,600
35,2016-03-28 11:58:00,5.2260,5.2260,5.2260,5.2260,150
36,2016-03-28 12:10:00,5.2100,5.2100,5.2100,5.2100,1117
37,2016-03-28 12:22:00,5.2300,5.2300,5.2300,5.2300,400
38,2016-03-28 12:26:00,5.2300,5.2300,5.2300,5.2300,1030
39,2016-03-28 12:29:00,5.2300,5.2300,5.2300,5.2300,200
40,2016-03-28 12:30:00,5.2300,5.2300,5.2300,5.2300,1400
41,2016-03-28 12:34:00,5.2400,5.2400,5.2350,5.2350,700
42,2016-03-28 12:39:00,5.2500,5.2500,5.2500,5.2500,1000
43,2016-03-28 12:44:00,5.2600,5.2600,5.2600,5.2600,517
44,2016-03-28 12:52:00,5.2500,5.2500,5.2500,5.2500,400
45,2016-03-28 12:54:00,5.2500,5.2500,5.2500,5.2500,200
46,2016-03-28 13:03:00,5.2600,5.2600,5.2600,5.2600,1183
47,2016-03-28 13:07:00,5.2600,5.2600,5.2600,5.2600,100
48,2016-03-28 13:21:00,5.2500,5.2500,5.2500,5.2500,100
49,2016-03-28 13:38:00,5.2550,5.2550,5.2550,5.2550,100
50,2016-03-28 13:49:00,5.2500,5.2500,5.2500,5.2500,597
51,2016-03-28 13:51:00,5.2500,5.2500,5.2500,5.2500,100
52,2016-03-28 14:02:00,5.2600,5.2600,5.2600,5.2600,724
53,2016-03-28 14:03:00,5.2700,5.2700,5.2700,5.2700,200
54,2016-03-28 14:04:00,5.2700,5.2700,5.2700,5.2700,600
55,2016-03-28 14:09:00,5.2700,5.2700,5.2700,5.2700,2800
56,2016-03-28 14:15:00,5.2800,5.2800,5.2800,5.2800,100
57,2016-03-28 14:18:00,5.2700,5.2700,5.2700,5.2700,1100
58,2016-03-28 14:19:00,5.2600,5.2600,5.2600,5.2600,200
59,2016-03-28 14:20:00,5.2600,5.2600,5.2600,5.2600,400
60,2016-03-28 14:21:00,5.2600,5.2600,5.2600,5.2600,2000
61,2016-03-28 14:24:00,5.2600,5.2600,5.2600,5.2600,600
62,2016-03-28 14:28:00,5.2700,5.2700,5.2700,5.2700,644
63,2016-03-28 14:29:00,5.2700,5.2700,5.2700,5.2700,100
64,2016-03-28 14:30:00,5.2800,5.2800,5.2800,5.2800,400
65,2016-03-28 14:42:00,5.2700,5.2700,5.2700,5.2700,600
66,2016-03-28 14:47:00,5.2700,5.2700,5.2700,5.2700,1400
67,2016-03-28 15:21:00,5.2750,5.2750,5.2750,5.2750,200
68,2016-03-28 15:26:00,5.2700,5.2700,5.2700,5.2700,1000
69,2016-03-28 15:30:00,5.2700,5.2700,5.2700,5.2700,7681
70,2016-03-28 15:45:00,5.2700,5.2700,5.2700,5.2700,3100
71,2016-03-28 15:52:00,5.2700,5.2700,5.2700,5.2700,6887
72,2016-03-28 15:59:00,5.2650,5.2650,5.2650,5.2650,200
73,2016-03-28 16:00:00,5.2650,5.2650,5.2650,5.2650,100
74,2016-03-29 09:30:00,5.0900,5.0900,5.0800,5.0800,67771
75,2016-03-29 09:31:00,5.0800,5.0800,5.0800,5.0800,2307
76,2016-03-29 09:32:00,5.0800,5.0800,5.0800,5.0800,3600
77,2016-03-29 09:33:00,5.0800,5.0800,5.0800,5.0800,15900
78,2016-03-29 09:34:00,5.0800,5.0800,5.0800,5.0800,7759
79,2016-03-29 09:35:00,5.0800,5.0900,5.0800,5.0900,10644
80,2016-03-29 09:36:00,5.0900,5.0900,5.0800,5.0800,991
81,2016-03-29 09:37:00,5.0800,5.0800,5.0800,5.0800,6200
82,2016-03-29 09:38:00,5.0800,5.0800,5.0800,5.0800,700
83,2016-03-29 09:40:00,5.0750,5.0750,5.0750,5.0750,200
84,2016-03-29 09:44:00,5.0700,5.0700,5.0600,5.0600,11823
85,2016-03-29 09:45:00,5.0700,5.0700,5.0700,5.0700,200
86,2016-03-29 09:48:00,5.0600,5.0600,5.0600,5.0600,151
87,2016-03-29 09:49:00,5.0600,5.0800,5.0600,5.0800,1417
88,2016-03-29 09:51:00,5.0600,5.0600,5.0550,5.0550,2900
89,2016-03-29 09:52:00,5.0600,5.0690,5.0600,5.0600,3160
90,2016-03-29 09:53:00,5.0600,5.0600,5.0600,5.0600,800
91,2016-03-29 09:55:00,5.0700,5.0700,5.0700,5.0700,403
92,2016-03-29 09:56:00,5.0760,5.0800,5.0760,5.0800,720
93,2016-03-29 10:01:00,5.0900,5.0900,5.0900,5.0900,200
94,2016-03-29 10:02:00,5.1000,5.1000,5.1000,5.1000,1841
95,2016-03-29 10:03:00,5.1100,5.1100,5.1100,5.1100,600
96,2016-03-29 10:14:00,5.1000,5.1000,5.1000,5.1000,400
97,2016-03-29 10:15:00,5.0900,5.0900,5.0900,5.0900,776
98,2016-03-29 10:21:00,5.0860,5.0890,5.0800,5.0800,3200
99,2016-03-29 10:23:00,5.0700,5.0700,5.0700,5.0700,100
100,2016-03-29 10:24:00,5.0800,5.0800,5.0800,5.0800,3000
101,2016-03-29 10:25:00,5.0850,5.0900,5.0850,5.0900,700
102,2016-03-29 10:31:00,5.0800,5.0900,5.0800,5.0900,271
103,2016-03-29 10:34:00,5.0800,5.0800,5.0750,5.0800,16700
104,2016-03-29 10:38:00,5.0800,5.0800,5.0800,5.0800,300
105,2016-03-29 10:39:00,5.0800,5.0800,5.0800,5.0800,700
106,2016-03-29 10:42:00,5.0700,5.0700,5.0700,5.0700,425
107,2016-03-29 10:44:00,5.0700,5.0700,5.0600,5.0650,7875
108,2016-03-29 10:47:00,5.0700,5.0800,5.0700,5.0800,5900
109,2016-03-29 10:48:00,5.0800,5.0800,5.0800,5.0800,200
110,2016-03-29 10:50:00,5.0850,5.0850,5.0850,5.0850,100
111,2016-03-29 10:52:00,5.0800,5.0800,5.0800,5.0800,3500
112,2016-03-29 10:55:00,5.0800,5.0800,5.0800,5.0800,400
113,2016-03-29 10:58:00,5.0800,5.0800,5.0800,5.0800,500
