,date,open,high,low,close,volume
0,2016-03-29 09:30:00,27.51,27.51,27.51,27.51,19917
1,2016-03-29 09:31:00,27.5,27.52,27.5,27.51,6300
2,2016-03-29 09:32:00,27.51,27.52,27.51,27.52,42756
3,2016-03-29 09:33:00,27.52,27.54,27.52,27.53,73513
4,2016-03-29 09:34:00,27.53,27.53,27.524,27.524,14487
5,2016-03-29 09:35:00,27.52,27.52,27.51,27.52,34202
6,2016-03-29 09:36:00,27.51,27.53,27.51,27.53,18630
7,2016-03-29 09:37:00,27.53,27.53,27.525,27.525,48676
8,2016-03-29 09:38:00,27.525,27.525,27.52,27.52,34293
9,2016-03-29 09:39:00,27.52,27.52,27.51,27.51,6766
10,2016-03-29 09:40:00,27.51,27.52,27.51,27.52,50757
11,2016-03-29 09:41:00,27.51,27.52,27.51,27.515,8500
12,2016-03-29 09:42:00,27.52,27.5247,27.52,27.5247,7913
13,2016-03-29 09:43:00,27.53,27.53,27.525,27.53,9456
14,2016-03-29 09:44:00,27.52,27.525,27.52,27.52,12100
15,2016-03-29 09:45:00,27.52,27.525,27.52,27.52,5000
16,2016-03-29 09:46:00,27.525,27.525,27.51,27.515,3206
17,2016-03-29 09:47:00,27.52,27.52,27.515,27.515,2659
18,2016-03-29 09:48:00,27.51,27.51,27.51,27.51,200
19,2016-03-29 09:49:00,27.51,27.5178,27.51,27.5178,419
20,2016-03-29 09:50:00,27.52,27.52,27.51,27.51,300
21,2016-03-29 09:51:00,27.51,27.51,27.51,27.51,1600
22,2016-03-29 09:52:00,27.52,27.52,27.52,27.52,17647
23,2016-03-29 09:53:00,27.525,27.53,27.52,27.53,114896
24,2016-03-29 09:54:00,27.525,27.54,27.525,27.535,85939
25,2016-03-29 09:55:00,27.53,27.5332,27.53,27.53,4800
26,2016-03-29 09:56:00,27.53,27.53,27.52,27.525,23406
27,2016-03-29 09:57:00,27.525,27.525,27.525,27.525,500
28,2016-03-29 09:58:00,27.525,27.525,27.5,27.51,92170
29,2016-03-29 09:59:00,27.51,27.51,27.5031,27.51,12000
30,2016-03-29 10:00:00,27.5,27.51,27.5,27.505,250767
31,2016-03-29 10:01:00,27.51,27.51,27.49,27.49,19635
32,2016-03-29 10:02:00,27.49,27.51,27.49,27.5,55303
33,2016-03-29 10:03:00,27.5,27.5,27.5,27.5,5090
34,2016-03-29 10:04:00,27.496,27.5,27.496,27.5,101455
35,2016-03-29 10:05:00,27.5,27.5,27.495,27.495,2200
36,2016-03-29 10:06:00,27.5,27.51,27.49,27.51,66304
37,2016-03-29 10:07:00,27.51,27.52,27.51,27.515,29229
38,2016-03-29 10:08:00,27.52,27.52,27.515,27.52,1200
39,2016-03-29 10:09:00,27.52,27.52,27.52,27.52,200
40,2016-03-29 10:12:00,27.51,27.52,27.51,27.51,600
41,2016-03-29 10:13:00,27.51,27.52,27.51,27.52,1400
42,2016-03-29 10:14:00,27.51,27.52,27.51,27.51,1000
43,2016-03-29 10:15:00,27.52,27.52,27.52,27.52,200
44,2016-03-29 10:16:00,27.52,27.52,27.51,27.52,18811
45,2016-03-29 10:17:00,27.52,27.52,27.5,27.5,57593
46,2016-03-29 10:18:00,27.5,27.51,27.5,27.51,5770
47,2016-03-29 10:19:00,27.51,27.51,27.505,27.51,8050
48,2016-03-29 10:20:00,27.51,27.52,27.51,27.52,11886
49,2016-03-29 10:22:00,27.515,27.52,27.51,27.52,800
50,2016-03-29 10:23:00,27.515,27.52,27.515,27.515,600
51,2016-03-29 10:24:00,27.515,27.52,27.51,27.515,1600
52,2016-03-29 10:27:00,27.5132,27.52,27.5101,27.515,10400
53,2016-03-29 10:31:00,27.52,27.52,27.515,27.515,1400
54,2016-03-29 10:33:00,27.51,27.52,27.51,27.52,400
55,2016-03-29 10:34:00,27.51,27.51,27.51,27.51,100
56,2016-03-29 10:35:00,27.52,27.52,27.52,27.52,400
57,2016-03-29 10:39:00,27.52,27.52,27.51,27.515,700
58,2016-03-29 10:40:00,27.515,27.515,27.515,27.515,100
59,2016-03-29 10:41:00,27.5101,27.52,27.51,27.51,1316
60,2016-03-29 10:42:00,27.52,27.52,27.52,27.52,500
61,2016-03-29 10:43:00,27.51,27.51,27.51,27.51,100
62,2016-03-29 10:45:00,27.52,27.52,27.52,27.52,512
63,2016-03-29 10:46:00,27.515,27.52,27.51,27.52,3400
64,2016-03-29 10:47:00,27.5143,27.52,27.51,27.515,5700
65,2016-03-29 10:48:00,27.515,27.52,27.515,27.515,1200
66,2016-03-29 10:49:00,27.515,27.52,27.51,27.52,5006
67,2016-03-29 10:50:00,27.515,27.52,27.515,27.515,1200
68,2016-03-29 10:52:00,27.52,27.52,27.52,27.52,2300
69,2016-03-29 10:53:00,27.52,27.52,27.52,27.52,4905
70,2016-03-29 10:54:00,27.515,27.515,27.515,27.515,100
71,2016-03-29 10:55:00,27.515,27.515,27.515,27.515,400
72,2016-03-29 10:56:00,27.52,27.52,27.51,27.515,2600
73,2016-03-29 10:58:00,27.515,27.515,27.515,27.515,100
74,2016-03-29 10:59:00,27.52,27.52,27.52,27.52,800
75,2016-03-29 11:00:00,27.52,27.52,27.52,27.52,1195
76,2016-03-29 11:01:00,27.52,27.52,27.52,27.52,2001
77,2016-03-29 11:02:00,27.52,27.52,27.52,27.52,100
78,2016-03-29 11:03:00,27.52,27.52,27.52,27.52,200
79,2016-03-29 11:04:00,27.515,27.52,27.515,27.52,1300
80,2016-03-29 11:05:00,27.515,27.52,27.51,27.52,3006
81,2016-03-29 11:06:00,27.51,27.51,27.51,27.51,100
82,2016-03-29 11:07:00,27.52,27.52,27.52,27.52,300
83,2016-03-29 11:08:00,27.52,27.52,27.515,27.52,5832
84,2016-03-29 11:09:00,27.52,27.52,27.52,27.52,400
85,2016-03-29 11:10:00,27.52,27.52,27.52,27.52,400
86,2016-03-29 11:11:00,27.52,27.52,27.52,27.52,100
87,2016-03-29 11:12:00,27.52,27.52,27.52,27.52,100
88,2016-03-29 11:13:00,27.52,27.52,27.515,27.52,500
89,2016-03-29 11:14:00,27.52,27.52,27.52,27.52,300
90,2016-03-29 11:15:00,27.515,27.52,27.515,27.52,1200
91,2016-03-29 11:16:00,27.52,27.52,27.52,27.52,100
92,2016-03-29 11:17:00,27.52,27.52,27.5101,27.52,2512
93,2016-03-29 11:18:00,27.52,27.52,27.52,27.52,400
94,2016-03-29 11:20:00,27.52,27.52,27.52,27.52,900
95,2016-03-29 11:21:00,27.52,27.52,27.52,27.52,400
96,2016-03-29 11:22:00,27.52,27.52,27.515,27.52,935
97,2016-03-29 11:23:00,27.52,27.52,27.52,27.52,300
98,2016-03-29 11:24:00,27.52,27.53,27.51,27.525,17272
99,2016-03-29 11:25:00,27.525,27.525,27.52,27.525,2300
100,2016-03-29 11:27:00,27.525,27.525,27.52,27.525,9620
101,2016-03-29 11:29:00,27.525,27.53,27.525,27.525,1400
102,2016-03-29 11:30:00,27.53,27.53,27.52,27.525,6162
103,2016-03-29 11:31:00,27.525,27.525,27.52,27.525,11561
104,2016-03-29 11:32:00,27.52,27.525,27.52,27.525,5911
105,2016-03-29 11:33:00,27.525,27.525,27.525,27.525,400
106,2016-03-29 11:35:00,27.525,27.525,27.52,27.525,2600
107,2016-03-29 11:36:00,27.525,27.525,27.52,27.525,1868
108,2016-03-29 11:37:00,27.52,27.53,27.52,27.53,300
109,2016-03-29 11:38:00,27.53,27.53,27.52,27.52,6610
110,2016-03-29 11:39:00,27.53,27.53,27.525,27.525,300
111,2016-03-29 11:40:00,27.52,27.53,27.52,27.52,940
112,2016-03-29 11:41:00,27.52,27.525,27.52,27.525,403
113,2016-03-29 11:42:00,27.5239,27.53,27.5239,27.53,2000
114,2016-03-29 11:43:00,27.53,27.53,27.5201,27.5201,650
115,2016-03-29 11:44:00,27.525,27.525,27.52,27.5205,1500
116,2016-03-29 11:45:00,27.525,27.525,27.525,27.525,100
117,2016-03-29 11:46:00,27.5264,27.5264,27.52,27.525,4081
118,2016-03-29 11:47:00,27.52,27.5264,27.52,27.5264,476
119,2016-03-29 11:48:00,27.525,27.525,27.525,27.525,100
120,2016-03-29 11:49:00,27.53,27.53,27.5212,27.5235,2600
121,2016-03-29 11:50:00,27.525,27.525,27.525,27.525,100
122,2016-03-29 11:51:00,27.53,27.53,27.52,27.525,2260
123,2016-03-29 11:52:00,27.525,27.525,27.525,27.525,100
124,2016-03-29 11:53:00,27.525,27.53,27.52,27.52,1100
125,2016-03-29 11:54:00,27.525,27.525,27.5201,27.5201,945
126,2016-03-29 11:55:00,27.525,27.525,27.52,27.525,1000
127,2016-03-29 11:56:00,27.525,27.53,27.525,27.53,600
128,2016-03-29 11:57:00,27.53,27.53,27.53,27.53,200
129,2016-03-29 11:58:00,27.5299,27.53,27.525,27.53,1948
130,2016-03-29 11:59:00,27.525,27.525,27.525,27.525,200
131,2016-03-29 12:00:00,27.52,27.525,27.515,27.52,124711
132,2016-03-29 12:01:00,27.52,27.52,27.52,27.52,1100
133,2016-03-29 12:04:00,27.52,27.52,27.52,27.52,100
134,2016-03-29 12:05:00,27.52,27.52,27.515,27.52,800
135,2016-03-29 12:06:00,27.52,27.52,27.52,27.52,300
136,2016-03-29 12:07:00,27.52,27.52,27.52,27.52,8000
