,date,open,high,low,close,volume
0,2016-03-29 09:30:00,28.49,28.49,28.49,28.49,2904
1,2016-03-29 09:31:00,28.5,28.5,28.49,28.5,5993
2,2016-03-29 09:32:00,28.49,28.49,28.49,28.49,1700
3,2016-03-29 09:33:00,28.49,28.5,28.49,28.5,600
4,2016-03-29 09:34:00,28.49,28.5,28.49,28.5,700
5,2016-03-29 09:35:00,28.4937,28.51,28.4937,28.5056,1698
6,2016-03-29 09:36:00,28.5,28.5,28.5,28.5,1522
7,2016-03-29 09:37:00,28.49,28.49,28.48,28.49,3900
8,2016-03-29 09:38:00,28.49,28.51,28.49,28.49,4807
9,2016-03-29 09:39:00,28.5,28.5,28.494,28.5,6900
10,2016-03-29 09:40:00,28.5,28.51,28.5,28.51,6700
11,2016-03-29 09:41:00,28.5,28.5,28.49,28.5,8700
12,2016-03-29 09:42:00,28.491,28.5,28.49,28.5,12019
13,2016-03-29 09:43:00,28.51,28.54,28.5,28.54,8519
14,2016-03-29 09:44:00,28.53,28.53,28.5,28.52,6465
15,2016-03-29 09:45:00,28.53,28.53,28.53,28.53,700
16,2016-03-29 09:46:00,28.54,28.54,28.53,28.535,5600
17,2016-03-29 09:47:00,28.53,28.53,28.53,28.53,200
18,2016-03-29 09:49:00,28.53,28.55,28.53,28.54,52510
19,2016-03-29 09:50:00,28.54,28.54,28.54,28.54,100
20,2016-03-29 09:51:00,28.53,28.54,28.51,28.53,9006
21,2016-03-29 09:52:00,28.525,28.53,28.525,28.525,1000
22,2016-03-29 09:53:00,28.53,28.53,28.53,28.53,100
23,2016-03-29 09:54:00,28.53,28.535,28.52,28.525,3135
24,2016-03-29 09:55:00,28.52,28.53,28.52,28.525,2195
25,2016-03-29 09:56:00,28.52,28.54,28.52,28.54,1628
26,2016-03-29 09:57:00,28.54,28.5425,28.53,28.53,12499
27,2016-03-29 09:58:00,28.54,28.55,28.53,28.54,22592
28,2016-03-29 09:59:00,28.54,28.54,28.54,28.54,600
29,2016-03-29 10:00:00,28.54,28.55,28.54,28.55,1100
30,2016-03-29 10:01:00,28.55,28.56,28.55,28.56,13149
31,2016-03-29 10:02:00,28.55,28.55,28.54,28.54,4100
32,2016-03-29 10:03:00,28.53,28.54,28.53,28.54,4732
33,2016-03-29 10:04:00,28.54,28.545,28.52,28.53,4800
34,2016-03-29 10:05:00,28.52,28.52,28.52,28.52,2300
35,2016-03-29 10:07:00,28.52,28.52,28.52,28.52,933
36,2016-03-29 10:08:00,28.53,28.53,28.525,28.525,3000
37,2016-03-29 10:09:00,28.525,28.525,28.51,28.525,21917
38,2016-03-29 10:10:00,28.525,28.525,28.52,28.525,800
39,2016-03-29 10:11:00,28.525,28.525,28.52,28.525,1600
40,2016-03-29 10:13:00,28.52,28.525,28.52,28.525,800
41,2016-03-29 10:14:00,28.52,28.525,28.515,28.52,16000
42,2016-03-29 10:15:00,28.5135,28.5135,28.5135,28.5135,420
43,2016-03-29 10:16:00,28.52,28.53,28.52,28.53,7819
44,2016-03-29 10:18:00,28.53,28.535,28.53,28.53,10861
45,2016-03-29 10:19:00,28.53,28.535,28.525,28.53,55552
46,2016-03-29 10:20:00,28.53,28.53,28.5,28.505,17256
47,2016-03-29 10:21:00,28.51,28.51,28.51,28.51,100
48,2016-03-29 10:22:00,28.51,28.52,28.51,28.51,10200
49,2016-03-29 10:23:00,28.51,28.51,28.51,28.51,1885
50,2016-03-29 10:24:00,28.52,28.52,28.52,28.52,3104
51,2016-03-29 10:25:00,28.52,28.525,28.515,28.515,3700
52,2016-03-29 10:27:00,28.51,28.5101,28.5,28.51,24780
53,2016-03-29 10:28:00,28.51,28.51,28.51,28.51,1400
54,2016-03-29 10:29:00,28.51,28.51,28.51,28.51,600
55,2016-03-29 10:30:00,28.51,28.51,28.5,28.51,3998
56,2016-03-29 10:31:00,28.51,28.51,28.51,28.51,3800
57,2016-03-29 10:32:00,28.51,28.515,28.51,28.515,2900
58,2016-03-29 10:33:00,28.515,28.515,28.51,28.51,12000
59,2016-03-29 10:34:00,28.515,28.515,28.515,28.515,500
60,2016-03-29 10:39:00,28.51,28.52,28.51,28.52,200
61,2016-03-29 10:40:00,28.52,28.52,28.52,28.52,6954
62,2016-03-29 10:41:00,28.51,28.51,28.51,28.51,400
63,2016-03-29 10:42:00,28.515,28.515,28.515,28.515,300
64,2016-03-29 10:43:00,28.52,28.52,28.51,28.51,300
65,2016-03-29 10:46:00,28.52,28.52,28.52,28.52,100
66,2016-03-29 10:47:00,28.52,28.52,28.52,28.52,200
67,2016-03-29 10:49:00,28.52,28.52,28.52,28.52,934
68,2016-03-29 10:51:00,28.52,28.52,28.52,28.52,200
69,2016-03-29 10:54:00,28.52,28.52,28.52,28.52,100
70,2016-03-29 10:55:00,28.52,28.52,28.51,28.52,600
71,2016-03-29 10:57:00,28.52,28.52,28.52,28.52,277
72,2016-03-29 10:58:00,28.52,28.52,28.52,28.52,200
73,2016-03-29 10:59:00,28.52,28.52,28.52,28.52,200
74,2016-03-29 11:02:00,28.52,28.52,28.51,28.52,1410
75,2016-03-29 11:03:00,28.515,28.515,28.515,28.515,100
76,2016-03-29 11:04:00,28.51,28.53,28.51,28.52,25450
77,2016-03-29 11:05:00,28.53,28.53,28.52,28.525,10600
78,2016-03-29 11:06:00,28.53,28.53,28.52,28.52,10700
79,2016-03-29 11:07:00,28.53,28.53,28.53,28.53,100
80,2016-03-29 11:08:00,28.53,28.54,28.52,28.53,40562
81,2016-03-29 11:09:00,28.53,28.53,28.52,28.525,5178
82,2016-03-29 11:10:00,28.53,28.53,28.53,28.53,100
83,2016-03-29 11:11:00,28.53,28.54,28.53,28.53,3617
84,2016-03-29 11:12:00,28.54,28.54,28.53,28.53,1947
85,2016-03-29 11:13:00,28.54,28.54,28.53,28.53,5321
86,2016-03-29 11:14:00,28.54,28.55,28.535,28.545,13362
87,2016-03-29 11:15:00,28.54,28.54,28.53,28.53,3248
88,2016-03-29 11:16:00,28.54,28.54,28.54,28.54,200
89,2016-03-29 11:18:00,28.54,28.54,28.54,28.54,100
90,2016-03-29 11:19:00,28.54,28.54,28.54,28.54,100
91,2016-03-29 11:20:00,28.54,28.54,28.5399,28.54,2700
92,2016-03-29 11:21:00,28.54,28.54,28.54,28.54,1700
93,2016-03-29 11:22:00,28.55,28.55,28.54,28.54,8775
94,2016-03-29 11:23:00,28.54,28.54,28.54,28.54,100
95,2016-03-29 11:25:00,28.54,28.55,28.54,28.55,2606
96,2016-03-29 11:26:00,28.54,28.54,28.54,28.54,4500
97,2016-03-29 11:27:00,28.54,28.55,28.54,28.55,1500
98,2016-03-29 11:28:00,28.54,28.54,28.54,28.54,6737
99,2016-03-29 11:30:00,28.54,28.54,28.53,28.53,760
100,2016-03-29 11:31:00,28.54,28.54,28.54,28.54,2007
101,2016-03-29 11:32:00,28.54,28.54,28.54,28.54,200
102,2016-03-29 11:33:00,28.535,28.54,28.535,28.54,600
103,2016-03-29 11:34:00,28.535,28.535,28.535,28.535,400
104,2016-03-29 11:35:00,28.54,28.54,28.54,28.54,400
105,2016-03-29 11:37:00,28.53,28.54,28.53,28.54,30951
106,2016-03-29 11:38:00,28.54,28.54,28.54,28.54,300
107,2016-03-29 11:40:00,28.53,28.535,28.53,28.535,300
108,2016-03-29 11:41:00,28.54,28.54,28.535,28.535,400
109,2016-03-29 11:42:00,28.53,28.535,28.53,28.535,300
110,2016-03-29 11:43:00,28.54,28.54,28.53,28.535,900
111,2016-03-29 11:44:00,28.53,28.54,28.53,28.54,302
112,2016-03-29 11:47:00,28.5342,28.54,28.5342,28.54,1000
113,2016-03-29 11:48:00,28.54,28.54,28.535,28.535,2715
114,2016-03-29 11:50:00,28.54,28.54,28.53,28.53,954
115,2016-03-29 11:51:00,28.54,28.54,28.54,28.54,1838
116,2016-03-29 11:52:00,28.54,28.56,28.54,28.56,29587
117,2016-03-29 11:53:00,28.555,28.57,28.555,28.57,3201
118,2016-03-29 11:54:00,28.56,28.565,28.55,28.56,4855
119,2016-03-29 11:55:00,28.56,28.56,28.56,28.56,500
120,2016-03-29 11:57:00,28.57,28.57,28.57,28.57,3100
121,2016-03-29 11:58:00,28.57,28.57,28.56,28.56,405
122,2016-03-29 11:59:00,28.57,28.57,28.57,28.57,100
123,2016-03-29 12:00:00,28.56,28.56,28.56,28.56,18900
124,2016-03-29 12:02:00,28.56,28.56,28.555,28.56,1700
125,2016-03-29 12:03:00,28.565,28.57,28.56,28.57,4255
126,2016-03-29 12:04:00,28.57,28.5795,28.57,28.57,2202
127,2016-03-29 12:05:00,28.57,28.58,28.57,28.58,644
128,2016-03-29 12:06:00,28.58,28.58,28.58,28.58,1500
129,2016-03-29 12:08:00,28.58,28.58,28.56,28.56,1623
130,2016-03-29 12:09:00,28.57,28.57,28.56,28.56,500
131,2016-03-29 12:10:00,28.57,28.57,28.56,28.56,500
132,2016-03-29 12:11:00,28.57,28.57,28.565,28.57,1700
133,2016-03-29 12:12:00,28.58,28.58,28.58,28.58,100
134,2016-03-29 12:14:00,28.57,28.58,28.57,28.58,200
135,2016-03-29 12:15:00,28.57,28.58,28.57,28.575,1855
136,2016-03-29 12:16:00,28.57,28.58,28.57,28.58,200
137,2016-03-29 12:17:00,28.58,28.58,28.58,28.58,100
138,2016-03-29 12:19:00,28.58,28.58,28.58,28.58,200
139,2016-03-29 12:20:00,28.57,28.57,28.57,28.57,200
140,2016-03-29 12:21:00,28.57,28.57,28.54,28.57,35467
141,2016-03-29 12:23:00,28.56,28.56,28.55,28.55,2900
142,2016-03-29 12:24:00,28.56,28.56,28.555,28.555,400
143,2016-03-29 12:25:00,28.55,28.55,28.55,28.55,500
144,2016-03-29 12:26:00,28.56,28.56,28.55,28.55,200
145,2016-03-29 12:27:00,28.55,28.55,28.55,28.55,200
146,2016-03-29 12:28:00,28.56,28.56,28.55,28.55,400
147,2016-03-29 12:29:00,28.56,28.56,28.55,28.56,1395
148,2016-03-29 12:30:00,28.56,28.56,28.56,28.56,2700
149,2016-03-29 12:31:00,28.565,28.57,28.56,28.57,400
150,2016-03-29 12:32:00,28.56,28.57,28.56,28.57,300
151,2016-03-29 12:33:00,28.56,28.57,28.56,28.56,3000
152,2016-03-29 12:34:00,28.56,28.56,28.55,28.55,300
153,2016-03-29 12:35:00,28.55,28.555,28.55,28.55,300
154,2016-03-29 12:36:00,28.56,28.57,28.56,28.56,2100
155,2016-03-29 12:37:00,28.56,28.57,28.56,28.57,700
156,2016-03-29 12:39:00,28.56,28.56,28.56,28.56,300
157,2016-03-29 12:40:00,28.56,28.57,28.555,28.555,1384
158,2016-03-29 12:41:00,28.56,28.56,28.555,28.56,2300
159,2016-03-29 12:42:00,28.555,28.57,28.555,28.57,2929
160,2016-03-29 12:43:00,28.57,28.57,28.565,28.565,1871
161,2016-03-29 12:44:00,28.565,28.57,28.56,28.5601,2010
162,2016-03-29 12:45:00,28.565,28.57,28.565,28.565,1300
163,2016-03-29 12:46:00,28.57,28.57,28.56,28.56,1500
