,date,open,high,low,close,volume
0,2016-03-29 09:31:00,203.52,203.52,203.52,203.52,6076
1,2016-03-29 09:32:00,203.52,204.0,203.49,204.0,1881
2,2016-03-29 09:33:00,203.79,203.79,203.79,203.79,100
3,2016-03-29 09:35:00,203.8392,203.93,203.8392,203.93,350
4,2016-03-29 09:37:00,203.93,203.94,203.68,203.68,1000
5,2016-03-29 09:38:00,203.68,203.89,203.68,203.69,1950
6,2016-03-29 09:39:00,203.65,203.8,203.51,203.56,9652
7,2016-03-29 09:40:00,203.56,203.81,203.56,203.565,1040
8,2016-03-29 09:41:00,203.79,203.97,203.575,203.95,11289
9,2016-03-29 09:42:00,203.97,204.09,203.97,204.09,1701
10,2016-03-29 09:44:00,204.27,204.27,204.21,204.21,900
11,2016-03-29 09:45:00,204.14,204.4,204.14,204.35,3400
12,2016-03-29 09:46:00,204.365,204.365,204.16,204.17,472
13,2016-03-29 09:47:00,204.19,204.26,204.19,204.26,400
14,2016-03-29 09:48:00,204.35,204.51,204.34,204.47,2300
15,2016-03-29 09:49:00,204.49,204.49,204.38,204.49,1700
16,2016-03-29 09:50:00,204.38,204.38,204.38,204.38,100
17,2016-03-29 09:51:00,204.4725,204.59,204.3102,204.59,5328
18,2016-03-29 09:52:00,204.43,204.43,204.43,204.43,100
19,2016-03-29 09:54:00,204.49,204.55,204.37,204.47,700
20,2016-03-29 09:55:00,204.54,204.59,204.53,204.58,875
21,2016-03-29 09:56:00,204.5,204.59,204.5,204.59,200
22,2016-03-29 09:57:00,204.54,204.54,204.54,204.54,100
23,2016-03-29 09:58:00,204.71,204.82,204.71,204.8,1100
24,2016-03-29 09:59:00,204.67,204.87,204.67,204.87,6000
25,2016-03-29 10:00:00,204.91,204.94,204.79,204.79,6491
26,2016-03-29 10:01:00,204.85,204.89,204.8,204.8,800
27,2016-03-29 10:02:00,204.77,204.77,204.75,204.75,300
28,2016-03-29 10:03:00,204.68,204.68,204.67,204.67,300
29,2016-03-29 10:04:00,204.725,204.725,204.62,204.62,200
30,2016-03-29 10:05:00,204.58,204.84,204.58,204.83,1774
31,2016-03-29 10:06:00,204.78,204.79,204.75,204.75,700
32,2016-03-29 10:07:00,204.825,204.87,204.825,204.87,1400
33,2016-03-29 10:08:00,204.85,204.85,204.85,204.85,600
34,2016-03-29 10:09:00,204.85,204.85,204.85,204.85,200
35,2016-03-29 10:10:00,204.6525,204.73,204.6525,204.73,200
36,2016-03-29 10:11:00,204.79,204.79,204.79,204.79,100
37,2016-03-29 10:12:00,204.8,204.81,204.72,204.72,800
38,2016-03-29 10:13:00,204.78,204.87,204.78,204.87,200
39,2016-03-29 10:14:00,204.86,204.86,204.8,204.86,3412
40,2016-03-29 10:17:00,204.84,204.86,204.77,204.77,1700
41,2016-03-29 10:18:00,204.805,204.805,204.805,204.805,200
42,2016-03-29 10:20:00,204.82,204.84,204.62,204.62,3292
43,2016-03-29 10:21:00,204.63,204.63,204.62,204.62,400
44,2016-03-29 10:22:00,204.63,204.63,204.63,204.63,100
45,2016-03-29 10:23:00,204.71,204.77,204.69,204.77,600
46,2016-03-29 10:28:00,204.55,204.59,204.49,204.49,400
47,2016-03-29 10:29:00,204.59,204.61,204.54,204.61,600
48,2016-03-29 10:30:00,204.59,204.59,204.59,204.59,200
49,2016-03-29 10:31:00,204.67,204.67,204.66,204.66,200
50,2016-03-29 10:32:00,204.68,204.68,204.56,204.56,700
51,2016-03-29 10:33:00,204.55,204.63,204.55,204.58,3683
52,2016-03-29 10:34:00,204.5794,204.65,204.57,204.58,1600
53,2016-03-29 10:36:00,204.71,204.74,204.68,204.68,400
54,2016-03-29 10:38:00,204.71,204.72,204.645,204.72,400
55,2016-03-29 10:39:00,204.675,204.75,204.61,204.67,4219
56,2016-03-29 10:40:00,204.66,204.67,204.66,204.67,300
57,2016-03-29 10:41:00,204.65,204.65,204.6,204.6,1000
58,2016-03-29 10:42:00,204.6,204.7,204.58,204.58,3549
59,2016-03-29 10:43:00,204.6,204.74,204.6,204.73,11264
60,2016-03-29 10:44:00,204.68,204.75,204.59,204.61,10950
61,2016-03-29 10:45:00,204.62,204.62,204.59,204.59,600
62,2016-03-29 10:46:00,204.65,204.73,204.62,204.65,2000
